fecha,titular,url_archivo
20240110,"RUIN: Money, Ego and Deception at FTX",https://web.archive.org/web/20240111000550/https://www.bloomberg.com/europe
20240110,Also streaming on your TV:,https://web.archive.org/web/20240111000550/https://www.bloomberg.com/europe
20240110,Ex-Credit Suisse Star Trader Lemssouguer’s Hedge Fund Soars 32%,https://web.archive.org/web/20240111000550/https://www.bloomberg.com/europe
20240110,Meloni Pushes Hungary’s Orban to Unlock Ukraine Aid in Back-Channel Talks,https://web.archive.org/web/20240111000550/https://www.bloomberg.com/europe
20240118,Also streaming on your TV:,https://web.archive.org/web/20240118235629/https://www.bloomberg.com/europe
20240118,Grifols Shareholder Scranton Is Questioned by Spanish Regulators,https://web.archive.org/web/20240118235629/https://www.bloomberg.com/europe
20240118,Dutch King Risks Losing Half His Pay From Tax Proposal,https://web.archive.org/web/20240118235629/https://www.bloomberg.com/europe
20240120,Also streaming on your TV:,https://web.archive.org/web/20240120235109/https://www.bloomberg.com/europe
20240124,"RUIN: Money, Ego and Deception at FTX",https://web.archive.org/web/20240125000551/https://www.bloomberg.com/europe
20240124,Also streaming on your TV:,https://web.archive.org/web/20240125000551/https://www.bloomberg.com/europe
20240124,Trade Turmoil Sparks Supply Snarls in Europe’s Biggest Economies,https://web.archive.org/web/20240125000551/https://www.bloomberg.com/europe
20240124,Tesla Flags ‘Notably Lower’ Growth as It Builds Low-Cost Car,https://web.archive.org/web/20240125000551/https://www.bloomberg.com/europe
20240125,Also streaming on your TV:,https://web.archive.org/web/20240126000016/https://www.bloomberg.com/europe
20240125,LVMH Sales Prove Resilient Amid Broader Luxury Slowdown,https://web.archive.org/web/20240126000016/https://www.bloomberg.com/europe
20240125,France’s Le Pen Questions Ties to German AfD Over Extremist Plan,https://web.archive.org/web/20240126000016/https://www.bloomberg.com/europe
20240128,Also streaming on your TV:,https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240128,Daniel Moss and Gearoid Reidy| Columnist,https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240128,Ukraine Foils $40 Million Artillery Shell Embezzlement Scam,https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240128,"Immigration Key to Dutch Economic Success, Central Banker Says",https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240128,France Scrambles to Head Off Farmer Blockade of Paris,https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240128,Machu Picchu Railway Worker Protest Strands Hundreds of Tourists,https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240128,Warning to Exiled Putin Critics as Rockers Face Deportation From Thailand,https://web.archive.org/web/20240129000433/https://www.bloomberg.com/europe
20240202,"RUIN: Money, Ego and Deception at FTX",https://web.archive.org/web/20240202235214/https://www.bloomberg.com/europe
20240202,Also streaming on your TV:,https://web.archive.org/web/20240202235214/https://www.bloomberg.com/europe
20240203,Bloomberg New Economy Forum: Embracing Instability,https://web.archive.org/web/20240204000528/https://www.bloomberg.com/europe
20240203,Also streaming on your TV:,https://web.archive.org/web/20240204000528/https://www.bloomberg.com/europe
20240204,Also streaming on your TV:,https://web.archive.org/web/20240205000526/https://www.bloomberg.com/europe
20240204,"World Cup 2026 Final Goes to NYC in Victory Over Dallas, LA",https://web.archive.org/web/20240205000526/https://www.bloomberg.com/europe
20240204,Turkey Signals Preference to Retain Russian S-400s in F-35 Row,https://web.archive.org/web/20240205000526/https://www.bloomberg.com/europe
20240205,Also streaming on your TV:,https://web.archive.org/web/20240206000854/https://www.bloomberg.com/europe
20240205,Novartis to Buy Morphosys for €2.7 Billion to Gain Cancer Drugs,https://web.archive.org/web/20240206000854/https://www.bloomberg.com/europe
20240205,Europe’s Biggest Software Company Stops Offering Teslas to Employees,https://web.archive.org/web/20240206000854/https://www.bloomberg.com/europe
20240212,Also streaming on your TV:,https://web.archive.org/web/20240212235007/https://www.bloomberg.com/europe
20240212,"Blackstone to Merge Warehouse Landlords, Create UK Giant",https://web.archive.org/web/20240212235007/https://www.bloomberg.com/europe
20240212,Biden Pushes for Six-Week Fighting Pause in Israel-Hamas Hostage Deal,https://web.archive.org/web/20240212235007/https://www.bloomberg.com/europe
20240214,An Optimist's Guide to the Planet,https://web.archive.org/web/20240215000355/https://www.bloomberg.com/europe
20240214,Also streaming on your TV:,https://web.archive.org/web/20240215000355/https://www.bloomberg.com/europe
20240214,The Brutal Reality of Plunging Office Values Is Here,https://web.archive.org/web/20240215000355/https://www.bloomberg.com/europe
20240214,Ex-Credit Suisse Bankers Are Shaking Up the $1.3 Trillion CLO Market,https://web.archive.org/web/20240215000355/https://www.bloomberg.com/europe
20240215,Also streaming on your TV:,https://web.archive.org/web/20240216000428/https://www.bloomberg.com/europe
20240215,Temenos Sheds $2 Billion as Hindenburg Finds Latest Short Target,https://web.archive.org/web/20240216000428/https://www.bloomberg.com/europe
20240215,Santander Raises Dealmaker Bonuses by About 10% on Record Profit,https://web.archive.org/web/20240216000428/https://www.bloomberg.com/europe
20240216,"RUIN: Money, Ego and Deception at FTX",https://web.archive.org/web/20240216235401/https://www.bloomberg.com/europe
20240216,Also streaming on your TV:,https://web.archive.org/web/20240216235401/https://www.bloomberg.com/europe
20240218,Also streaming on your TV:,https://web.archive.org/web/20240218235752/https://www.bloomberg.com/europe
20240218,Apple Set to Face Near €500 Million EU Fine in Spotify Row,https://web.archive.org/web/20240218235752/https://www.bloomberg.com/europe
20240218,Global Factory Check-Up Is About to Reveal Extent of Nascent Recovery,https://web.archive.org/web/20240218235752/https://www.bloomberg.com/europe
20240220,Also streaming on your TV:,https://web.archive.org/web/20240221000456/https://www.bloomberg.com/europe
20240220,Grifols Drops 7% After Short Seller Gotham Raises Questions,https://web.archive.org/web/20240221000456/https://www.bloomberg.com/europe
20240220,Barclays CEO Looks to Placate Investors With Strategy Tweaks,https://web.archive.org/web/20240221000456/https://www.bloomberg.com/europe
20240221,An Optimist's Guide to the Planet,https://web.archive.org/web/20240221235708/https://www.bloomberg.com/europe
20240221,Also streaming on your TV:,https://web.archive.org/web/20240221235708/https://www.bloomberg.com/europe
20240221,Tim Culpan and Ruth Pollard| Columnist,https://web.archive.org/web/20240221235708/https://www.bloomberg.com/europe
20240221,She Was Set to Break Goldman’s Glass Ceiling. Now Beth Hammack Is Leaving,https://web.archive.org/web/20240221235708/https://www.bloomberg.com/europe
20240221,Fed Minutes Suggest Officials Are Seeking Smallest Balance Sheet Possible,https://web.archive.org/web/20240221235708/https://www.bloomberg.com/europe
20240222,Also streaming on your TV:,https://web.archive.org/web/20240222235701/https://www.bloomberg.com/europe
20240222,Euro Zone Overcomes German Factory Slump as Downturn Eases,https://web.archive.org/web/20240222235701/https://www.bloomberg.com/europe
20240222,Romania Throws Wrench in Push to Make Rutte Next NATO Chief,https://web.archive.org/web/20240222235701/https://www.bloomberg.com/europe
20240223,Also streaming on your TV:,https://web.archive.org/web/20240223235807/https://www.bloomberg.com/europe
20240224,Also streaming on your TV:,https://web.archive.org/web/20240224235700/https://www.bloomberg.com/europe
20240225,Also streaming on your TV:,https://web.archive.org/web/20240226001200/https://www.bloomberg.com/europe
20240225,Norwegian Cruise Ship Halted at Mauritius Due to Outbreak,https://web.archive.org/web/20240226001200/https://www.bloomberg.com/europe
20240225,"Apple Ponders Whether to Develop Smart Glasses, Fitness Ring",https://web.archive.org/web/20240226001200/https://www.bloomberg.com/europe
20240225,"Uniqlo’s Sister Brand GU Aiming to Take On Markets in US, Europe",https://web.archive.org/web/20240226001200/https://www.bloomberg.com/europe
20240225,Bolsonaro Rallies Supporters in Brazil Amid Police Probes,https://web.archive.org/web/20240226001200/https://www.bloomberg.com/europe
20240225,"Qatar Is Betting Big on LNG and Says Other Nations Should, Too",https://web.archive.org/web/20240226001200/https://www.bloomberg.com/europe
20240608,"OpenAI E1, Most Silicon Valley Man Alive",https://web.archive.org/web/20240611031800/https://www.bloomberg.com/europe
20240608,"OpenAI E1, Most Silicon Valley Man Alive",https://web.archive.org/web/20240611031800/https://www.bloomberg.com/europe
20240610,"OpenAI E1, Most Silicon Valley Man Alive",https://web.archive.org/web/20240611031800/https://www.bloomberg.com/europe
20240610,"OpenAI E1, Most Silicon Valley Man Alive",https://web.archive.org/web/20240611031800/https://www.bloomberg.com/europe
20240615,"OpenAI E2, Ilya Dreams of AGI",https://web.archive.org/web/20240616024458/https://www.bloomberg.com/europe
20240615,"OpenAI E2, Ilya Dreams of AGI",https://web.archive.org/web/20240616024458/https://www.bloomberg.com/europe
20240620,"OpenAI E2, Ilya Dreams of AGI",https://web.archive.org/web/20240620142503/https://www.bloomberg.com/europe
20240620,"OpenAI E2, Ilya Dreams of AGI",https://web.archive.org/web/20240620142503/https://www.bloomberg.com/europe
20240621,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240622120300/https://www.bloomberg.com/europe
20240621,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240622120300/https://www.bloomberg.com/europe
20240622,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240622235927/https://www.bloomberg.com/europe
20240622,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240622235927/https://www.bloomberg.com/europe
20240625,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240626112717/https://www.bloomberg.com/europe
20240625,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240626112717/https://www.bloomberg.com/europe
20240626,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240627035714/https://www.bloomberg.com/europe
20240626,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240627035714/https://www.bloomberg.com/europe
20240627,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240628001939/https://www.bloomberg.com/europe
20240627,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240628001939/https://www.bloomberg.com/europe
20240628,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240628214218/https://www.bloomberg.com/europe
20240628,"OpenAI E3, Heaven and Hell, Part 1",https://web.archive.org/web/20240628214218/https://www.bloomberg.com/europe
20240701,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240702000153/https://www.bloomberg.com/europe
20240701,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240702000153/https://www.bloomberg.com/europe
20240702,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240702190714/https://www.bloomberg.com/europe
20240702,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240702190714/https://www.bloomberg.com/europe
20240703,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240704035855/https://www.bloomberg.com/europe
20240703,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240704035855/https://www.bloomberg.com/europe
20240709,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240708111940/https://www.bloomberg.com/europe
20240709,"Foundering: OpenAI E4, Heaven and Hell, Part 2 (Podcasts)",https://web.archive.org/web/20240708111940/https://www.bloomberg.com/europe
20240710,"OpenAI E5, Beware the Ides of November",https://web.archive.org/web/20240711131559/https://www.bloomberg.com/europe
