TICKER,SNAPSHOT_DATE,HAS_ESG,TOTAL_ESG,ENVIRONMENTAL,SOCIAL,GOVERNANCE,CONTROVERSY,LOADED_AT
CA.PA,2025-09-11,false,,,,,,
TW.L,2025-09-11,false,,,,,,
SRG.MI,2025-09-11,false,,,,,,
STAN.L,2025-09-11,false,,,,,,
WEIR.L,2025-09-11,false,,,,,,
BMED.MI,2025-09-11,false,,,,,,
HEXA-B.ST,2025-09-11,false,,,,,,
TELIA.ST,2025-09-11,false,,,,,,
NESN.SW,2025-09-11,false,,,,,,
GAW.L,2025-09-11,false,,,,,,
UTG.L,2025-09-11,false,,,,,,
PSH.L,2025-09-11,false,,,,,,
DGE.L,2025-09-11,false,,,,,,
CON.DE,2025-09-11,false,,,,,,
NIBE-B.ST,2025-09-11,false,,,,,,
EL.PA,2025-09-11,false,,,,,,
LR.PA,2025-09-11,false,,,,,,
ITRK.L,2025-09-11,false,,,,,,
STMPA.PA,2025-09-11,false,,,,,,
PCT.L,2025-09-11,false,,,,,,
MNDI.L,2025-09-11,false,,,,,,
ML.PA,2025-09-11,false,,,,,,
FBK.MI,2025-09-11,false,,,,,,
HM-B.ST,2025-09-11,false,,,,,,
SEB-A.ST,2025-09-11,false,,,,,,
IMCD.AS,2025-09-11,false,,,,,,
DSY.PA,2025-09-11,false,,,,,,
WTB.L,2025-09-11,false,,,,,,
CRDA.L,2025-09-11,false,,,,,,
SLHN.SW,2025-09-11,false,,,,,,
AZM.MI,2025-09-11,false,,,,,,
MRL.MC,2025-09-11,false,,,,,,
ENT.L,2025-09-11,false,,,,,,
FME.DE,2025-09-11,false,,,,,,
CCEP.L,2025-09-11,false,,,,,,
RKT.L,2025-09-11,false,,,,,,
BNP.PA,2025-09-11,false,,,,,,
MTS.MC,2025-09-11,false,,,,,,
ZURN.SW,2025-09-11,false,,,,,,
ISP.MI,2025-09-11,false,,,,,,
SAP.DE,2025-09-11,false,,,,,,
RIO.L,2025-09-11,false,,,,,,
BZU.MI,2025-09-11,false,,,,,,
UNI.MI,2025-09-11,false,,,,,,
MKS.L,2025-09-11,false,,,,,,
INVE-B.ST,2025-09-11,false,,,,,,
CS.PA,2025-09-11,false,,,,,,
LLOY.L,2025-09-11,false,,,,,,
ACA.PA,2025-09-11,false,,,,,,
ERIC-B.ST,2025-09-11,false,,,,,,
FER.MC,2025-09-11,false,,,,,,
ANTO.L,2025-09-11,false,,,,,,
HLMA.L,2025-09-11,false,,,,,,
SHELL.AS,2025-09-11,false,,,,,,
ZAL.DE,2025-09-11,false,,,,,,
REP.MC,2025-09-11,false,,,,,,
IG.MI,2025-09-11,false,,,,,,
DBK.DE,2025-09-11,false,,,,,,
AIR.PA,2025-09-11,false,,,,,,
BAYN.DE,2025-09-11,false,,,,,,
BATS.L,2025-09-11,false,,,,,,
MT.AS,2025-09-11,false,,,,,,
ENEL.MI,2025-09-11,false,,,,,,
ADYEN.AS,2025-09-11,false,,,,,,
TSCO.L,2025-09-11,false,,,,,,
SMIN.L,2025-09-11,false,,,,,,
IFX.DE,2025-09-11,false,,,,,,
SPM.MI,2025-09-11,false,,,,,,
SVT.L,2025-09-11,false,,,,,,
NG.L,2025-09-11,false,,,,,,
DTG.DE,2025-09-11,false,,,,,,
LDO.MI,2025-09-11,false,,,,,,
FCIT.L,2025-09-11,false,,,,,,
IBE.MC,2025-09-11,false,,,,,,
RTO.L,2025-09-11,false,,,,,,
REN.AS,2025-09-11,false,,,,,,
ERF.PA,2025-09-11,false,,,,,,
IAG.MC,2025-09-11,false,,,,,,
AI.PA,2025-09-11,false,,,,,,
PGHN.SW,2025-09-11,false,,,,,,
HEN3.DE,2025-09-11,false,,,,,,
INDU-C.ST,2025-09-11,false,,,,,,
INW.MI,2025-09-11,false,,,,,,
REC.MI,2025-09-11,false,,,,,,
ABF.L,2025-09-11,false,,,,,,
DCC.L,2025-09-11,false,,,,,,
JD.L,2025-09-11,false,,,,,,
SAN.PA,2025-09-11,false,,,,,,
P911.DE,2025-09-11,false,,,,,,
LSEG.L,2025-09-11,false,,,,,,
ABBN.SW,2025-09-11,false,,,,,,
AUTO.L,2025-09-11,false,,,,,,
QIA.DE,2025-09-11,false,,,,,,
LAND.L,2025-09-11,false,,,,,,
SN.L,2025-09-11,false,,,,,,
RMS.PA,2025-09-11,false,,,,,,
RNO.PA,2025-09-11,false,,,,,,
EVO.ST,2025-09-11,false,,,,,,
SDR.L,2025-09-11,false,,,,,,
BBVA.MC,2025-09-11,false,,,,,,
WKL.AS,2025-09-11,false,,,,,,
RAND.AS,2025-09-11,false,,,,,,
IVG.MI,2025-09-11,false,,,,,,
BKG.L,2025-09-11,false,,,,,,
ADS.DE,2025-09-11,false,,,,,,
BN.PA,2025-09-11,false,,,,,,
SOON.SW,2025-09-11,false,,,,,,
SKA-B.ST,2025-09-11,false,,,,,,
RACE.MI,2025-09-11,false,,,,,,
BNZL.L,2025-09-11,false,,,,,,
PUB.PA,2025-09-11,false,,,,,,
ENG.MC,2025-09-11,false,,,,,,
LONN.SW,2025-09-11,false,,,,,,
TIT.MI,2025-09-11,false,,,,,,
CNA.L,2025-09-11,false,,,,,,
INGA.AS,2025-09-11,false,,,,,,
ELE.MC,2025-09-11,false,,,,,,
BC.MI,2025-09-11,false,,,,,,
LOG.MC,2025-09-11,false,,,,,,
