TICKER,PE_TRAILING,PE_FORWARD,PRICE_TO_BOOK,EV_TO_EBITDA,DIVIDEND_YIELD,PAYOUT_RATIO,MARKET_CAP,ENTERPRISE_VALUE,SHARES_OUTSTANDING
BMPS.MI,6.0320897,8.691398000,0.88765650,,10.86,0.64320000,10182074368,10306471936,1259689984
BMW.DE,9.0883620,6.129360000,0.56582760,9.830,5.12,0.46340000,51410796544,144976445440,559366016
BN.PA,26.2456170,19.736149000,3.03522180,12.714,2.89,0.75440000,48432328704,57392410624,643852032
BNP.PA,8.4209970,7.972892000,0.78054200,,6.13,0.50800000,88767676416,-464107044864,1117840000
BNR.DE,17.2517010,10.023716000,1.73901120,9.449,4.13,0.71430000,7323207168,10267425792,144384992
BNZL.L,17.4206890,0.122229750,324.26187000,10.998,2.94,0.50830000,8414510592,10577794048,324423008
BOL.ST,11.3394990,10.863144000,1.33203480,7.589,2.56,0.00000000,94571995136,113834287104,284084992
BP.L,141.6500100,8.332354000,112.24248000,4.626,5.80,7.54090000,65653080064,126508064768,15449600000
BPE.MI,8.4807340,10.158242000,1.14561900,,6.57,0.54950000,17968488448,21944442880,1943800064
BPSO.MI,9.0069450,14.573034000,1.34767260,,6.26,0.55670000,5834178560,14207406080,449820992
BT-A.L,18.5818180,0.110606060,154.03165000,6.237,4.05,0.76320000,20097384448,40346378240,9740619776
BTRW.L,36.8200000,0.101126070,67.12853000,12.549,4.76,1.57280000,5309628416,4895249920,1420300032
BVI.PA,18.2896560,17.918919000,8.15749100,12.003,3.40,0.62070000,11826116608,13516675072,443587008
BZU.MI,9.7955920,9.835011000,1.34841380,6.818,1.53,0.14020000,8848501760,8227653120,181024992
CA.PA,26.0851080,5.894231300,0.83984110,7.481,7.58,1.95740010,8718233600,26865829888,706163968
CABK.MC,10.8222220,21.380487000,1.65583670,,4.96,0.53800000,61717549056,108171190272,7037349888
CAP.PA,13.7316800,10.099503000,1.88664640,8.652,2.78,0.38330000,21352759296,24685273088,168830000
CBK.DE,15.7607650,14.837837000,1.09770730,,1.98,0.31100000,37139849216,-21569275904,1127500032
CCEP.L,23.0795820,1483.372700000,379.88380000,12.044,2.57,0.60480000,31085201408,40925843456,454215008
CCH.L,17.1152060,18.117073000,399.91388000,10.193,2.38,0.41040000,13617269760,16217768960,363508000
CFR.SW,25.0167790,23.224300000,3.96679700,16.253,2.01,0.45820000,87220961280,84107894784,534182016
CLNX.MC,79.6052600,-177.941180000,1.57445490,17.716,0.21,0.16500000,20617220096,42296823808,681561024
CNA.L,,0.104876414,234.32835000,1.019,3.08,0.16610001,7363425280,5667389952,4690079744
COL.MC,7.3376627,17.121212000,0.60427810,28.526,5.31,0.38959998,3467190528,9069192192,613662016
CON.DE,13.0269290,7.511387000,2.86571880,5.506,3.43,0.44880000,14512435200,21417000960,200006000
CPG.L,40.7812500,25.096155000,635.96490000,14.285,1.89,0.69290000,44434731008,50841698304,1697129984
CPR.MI,35.3750000,17.812185000,1.83230820,13.494,1.14,0.40630000,7121807872,9220777984,1200600064
CRDA.L,16.3441560,0.154521450,158.69113000,11.340,4.43,0.71430000,3541544704,4112004096,139591008
CS.PA,12.2340430,10.536650000,1.88754460,,5.38,0.65400004,85868945408,91632812032,2133389952
CTEC.L,29.4000020,18.092308000,265.46277000,10.833,2.13,0.63650000,4839475200,6052169728,2029360000
DB1.DE,22.3191100,22.113972000,4.17730100,15.581,1.64,0.37110000,44095483904,49041874944,183272992
DBK.DE,12.8326530,11.644444000,0.76714736,,2.21,0.27800000,60558155776,-47171272704,1926150016
DCC.L,22.5118500,0.091576850,152.95444000,7.925,4.38,0.94890000,4637605376,6018172416,96968200
DG.PA,14.2719600,13.416289000,2.31948690,8.013,4.01,0.57160000,66177851392,96618553344,557992000
DGE.L,24.4358980,13.236111000,381.96396000,10.585,4.11,0.96180000,43229986816,66409541632,2222380032
DHL.DE,13.0576270,11.779817000,2.11242100,8.584,4.82,0.62710000,43608489984,66155499520,1132099968
DIA.MI,23.0835720,19.489050000,2.81536670,13.790,1.47,0.34610000,4344167424,5011741696,53943300
DPLM.L,44.6774200,0.343672450,786.70830000,23.942,1.11,0.47709998,7500384256,7872006144,134031000
DSFIR.AS,29.7720600,26.726074000,0.99935836,10.874,3.12,0.91910005,21238464512,24063229952,257512000
DSY.PA,32.1058800,20.066177000,4.40090300,24.266,0.95,0.30590000,36653199360,34525765632,1316130048
DTE.DE,11.6614790,15.060301000,2.48322130,7.391,2.94,0.35020000,146865881088,306973573120,4900429824
DTG.DE,12.3803270,8.317181000,1.41290920,10.893,5.06,0.62299997,28688046080,49868611584,759747008
EDEN.PA,10.7729470,8.404026000,-4.57999560,7.456,5.45,0.58450000,5485041664,7806045696,238032000
EDV.L,41.5000000,694.232600000,232.49301000,3.751,3.19,1.06520000,6794585600,7660138496,240772000
EL.PA,51.8677060,34.758800000,3.25038700,23.958,1.49,0.76699996,122944192512,134787743744,461156000
ELE.MC,13.1592045,14.613260000,3.35745120,7.943,4.98,0.65559995,27530219520,38920990720,1040840000
EN.PA,13.6245500,11.299402000,1.19162640,5.973,5.34,0.72199994,14387582976,27774406656,381228992
ENEL.MI,13.0299990,11.497059000,3.02554150,8.977,6.52,0.71669996,78996193280,153129664512,10103799808
ENG.MC,25.3461550,12.203704000,1.52847040,11.771,7.59,1.91090000,3432546560,5654130176,259943008
ENGI.PA,8.9113300,8.222727000,1.59833900,5.924,8.25,0.72910005,43989635072,88176607232,2431709952
ENI.MI,20.1648640,8.065946000,1.01724730,5.332,6.95,1.35140000,44787638272,67768209408,3001449984
ENR.DE,87.0925900,105.685394000,8.08214500,32.014,,0.00000000,74828111872,77184581632,795536000
ENT.L,,0.194878770,380.02652000,11.111,2.24,1.34920000,5503853568,9454239744,639545024
EOAN.DE,12.7458320,14.032109000,2.29275970,9.096,3.59,0.45830002,39967059968,82655027200,2613080064
EPI-A.ST,27.0833340,24.074074000,6.31463500,17.649,1.89,0.51080000,235444699136,255969951744,818892992
EQT.ST,43.1065440,23.015762000,54.10021000,260.336,1.28,0.49860000,393829580800,392326774784,1172809984
ERF.PA,28.1938320,18.443804000,3.32036330,10.330,0.95,0.26430000,11545536512,14782386176,177634000
ERIC-B.ST,14.4624270,11.801887000,2.88481500,11.665,3.78,0.53560000,250243284992,252748087296,3071529984
ESSITY-B.ST,14.3470890,19.198185000,2.16665670,8.604,3.25,0.46660000,175085715456,210107662336,627644992
EVO.ST,12.4232930,11.066796000,43.28569800,109.465,3.84,0.47950000,161292042240,160991576064,201414000
EXO.AS,1.2492536,9.404494000,0.46818364,-1.135,0.59,0.00690000,27399948288,-19730481152,201503008
EXPN.L,41.2043000,27.768116000,692.82227000,17.622,1.21,0.47529998,35783258112,39773077504,913284992
EZJ.L,8.6222220,0.066343690,131.93540000,3.712,2.62,0.22240000,3554050304,3169656064,750788992
FBK.MI,17.6542030,19.474226000,5.14713860,,3.98,0.69160000,11551121408,11421407232,611494016
FCIT.L,16.3472210,,100.75329600,,,,5635428864,,478796000
FDR.MC,29.3411770,20.276423000,3.06388200,16.255,2.41,0.64580000,4735906816,5869833216,189892000
FER.MC,10.5649360,203.375020000,5.95389130,31.747,1.66,0.17590000,35025326080,44382384128,717585024
FME.DE,19.1883410,12.548387000,0.94607440,9.717,3.40,0.64570000,12555142144,22938957824,293412992
FRE.DE,23.3168320,13.976261000,1.45106120,14.871,2.12,0.49500000,26528460800,38814474240,563236992
FRES.L,47.7391300,35.419357000,427.23737000,9.401,1.61,0.53279996,16211948544,15579295744,736894016
G.MI,13.0237160,11.810037000,1.68344150,10.022,4.33,0.56520003,49876086784,82463629312,1512770048
GAW.L,25.2188550,0.300320770,1759.04190000,17.440,2.66,0.87620000,5032425984,4851768320,32972100
GEBN.SW,33.8914030,29.707487000,16.53649700,23.114,2.14,0.72360003,19751010304,20918038528,32962300
GIVN.SW,28.9866120,31.148138000,7.68762300,21.346,2.05,0.59330004,31573092352,36053082112,9229200
GLE.PA,9.6482410,11.428571000,0.65652996,,3.05,0.18260000,44408791040,-311553490944,770985984
GLEN.L,,8.531429000,93.95846600,8.020,2.51,1.31119990,35353042944,70140846080,11839599616
GRF.MC,27.7840920,20.720340000,1.60939970,11.415,1.23,0.00000000,7341516288,19805652992,422284992
GSK.L,18.2831330,9.032739000,415.18470000,8.041,4.30,0.74970000,61098188800,74711228416,4026240000
HEI.DE,20.0578600,16.733707000,2.15071560,10.901,1.64,0.31820000,37113651200,45318619136,178431008
HEIA.AS,20.5246900,13.039216000,2.09951380,9.943,2.85,0.57410000,37260947456,55231979520,560315008
HEN3.DE,14.8240000,13.072310000,1.54839250,9.196,2.72,0.40800000,29171187712,31954395136,162856992
HER.MI,10.5085720,12.682759000,1.42117460,7.410,4.08,0.43100000,5395809792,9844796416,1467049984
HEXA-B.ST,28.5695530,20.422138000,29.18230400,188.028,1.40,0.40230000,291389276160,296049737728,2574129920
HIK.L,13.4959350,9.325843000,144.83902000,6.559,3.84,0.47900000,3753425920,5011102208,221452000
HLMA.L,42.7179500,0.347083330,662.55720000,25.487,0.70,0.28410000,12585031680,13120820224,377702016
HLN.L,21.4176460,0.190031320,206.28896000,15.539,1.86,0.39520000,32589461504,40804229120,8950689792
HM-B.ST,24.0325200,16.700565000,6.49356370,13.625,4.60,1.08130000,238263959552,294162825216,1408989952
HNR1.DE,11.7201170,11.952428000,2.62134030,5.369,2.88,0.34010000,29087995904,26661537792,120597000
HO.PA,47.9724430,25.679663000,7.01153700,19.662,1.57,0.72830003,50105937920,53505044480,205604992
HOLN.SW,12.2676060,10.938776000,2.62794660,7.381,4.45,0.54580003,38394793984,44729802752,551016000
