TICKER,PE_TRAILING,PE_FORWARD,PRICE_TO_BOOK,EV_TO_EBITDA,DIVIDEND_YIELD,PAYOUT_RATIO,MARKET_CAP,ENTERPRISE_VALUE,SHARES_OUTSTANDING
SAN.MC,10.4158540,16.425001000,1.28862420,,2.60,0.25690000,126749294592,81422696448,14840099840
SAN.PA,15.6776700,9.366590000,1.40366130,8.683,4.88,0.76120000,98460819456,104905490432,1219480064
SAND.ST,21.5958370,18.308823000,3.56365920,13.743,2.31,0.49830002,312343101440,359452114944,1254390016
SAP.DE,39.4614000,35.798046000,6.24360900,24.267,1.05,0.42270002,255979094016,254948081664,1164600064
SBRY.L,17.0333330,0.124735560,106.01660000,7.036,4.49,0.74010000,7116216832,10814733312,2252610048
SCA-B.ST,23.0762080,18.753777000,0.84188330,18.870,2.42,0.55759996,87824834560,102386819072,639475968
SCMN.SW,22.8298950,19.576101000,2.62047960,11.911,3.75,0.85570000,30381813760,47274840064,51801900
SCYR.MC,30.4833340,13.548147000,2.81384630,8.146,3.36,1.68330000,2895618048,10677606400,791585024
SDR.L,17.0727270,0.118299216,138.80266000,1.066,5.79,0.96410006,5823941120,678350400,1550569984
SEB-A.ST,11.0853430,11.352121000,1.64656500,,4.74,0.52599996,355510124544,616240775168,1965260032
SGE.L,31.7500000,0.263228500,1322.91670000,21.062,1.93,0.59480000,10319448064,11563072512,955068992
SGO.PA,16.6725980,13.501440000,1.97146940,8.590,2.39,0.39150003,46962343936,59805511680,495811008
SGRO.L,13.3434780,0.164867040,68.78081500,26.781,4.83,0.63700000,8348416512,13122818048,1352690048
SHB-A.ST,9.0978010,10.517091000,1.26018660,,6.25,0.56860000,241852792832,1278181376000,1944780032
SHEL.L,15.9337360,8.615635000,86.33352000,4.169,4.01,0.62189996,153946669056,201325494272,5801719808
SHELL.AS,16.0942400,8.047120000,1.00336190,4.695,3.98,0.62680000,178344869888,226689449984,5801719808
SHL.DE,24.8704660,16.901410000,3.05888340,15.985,2.01,0.49220002,53834883072,67440467968,1121560064
SIE.DE,23.1597580,26.978800000,2.96846840,18.304,2.28,0.52630000,179395854336,227349741568,783217024
SIKA.SW,24.3372700,21.316092000,4.82089040,16.758,1.94,0.47240000,29754523648,35474755584,160444992
SKA-B.ST,16.3355710,14.436535000,1.70589130,11.872,3.29,0.53730000,98192187392,106162323456,392335008
SKF-B.ST,19.7627100,12.998884000,1.99763570,9.364,3.32,0.65680003,106766884864,116930871296,426420000
SLHN.SW,20.1206260,17.993528000,3.60463140,-22.095,4.20,0.84440005,23798607872,-40014479360,28528700
SLR.MC,12.7421050,14.241176000,2.26303980,13.185,,0.00000000,1512531840,2647930368,124951000
SMIN.L,26.7415730,0.196580480,358.75793000,15.104,1.88,0.49320000,7767034368,8473322496,326345984
SMT.L,11.7368420,,110.83498400,,,,12614330368,,1131330048
SN.L,34.7195130,17.359756000,224.88152000,10.605,2.04,0.67150000,12363539456,15228313600,868531008
SOON.SW,26.6039830,18.164654000,5.38007260,17.489,1.83,0.47570000,14335723520,15429120000,59608000
SPM.MI,14.9437500,9.962501000,1.79504500,4.617,7.14,1.06250000,4679856640,5267863040,1957280000
SPX.L,32.0454520,0.219619320,457.37643000,16.000,1.38,0.74970000,5280224256,5943949824,73703800
SREN.SW,14.0600000,11.230032000,1.82504960,9.394,4.26,0.58610000,41346383872,46340579328,294071008
SRG.MI,12.4780490,13.827027000,2.10882120,12.515,6.83,0.70170000,17282105344,35367092224,3354400000
SRT3.DE,129.0666700,37.088127000,4.83431960,23.480,0.37,0.49330002,12178524160,18338195456,34807300
SSE.L,15.2037030,0.096764690,177.34097000,9.933,3.92,0.56610000,18169716736,28305932288,1099849984
STAN.L,10.6231340,10.390511500,73.31959500,,2.13,0.20340000,32733952000,-123195449344,2299539968
STJ.L,13.3617030,0.171960560,484.75490000,6.936,1.44,0.19090000,6573752832,6655318016,523388000
STLAM.MI,,2.670492000,0.32179686,15.021,9.12,0.84239995,24039563264,33812656128,2888719872
STLAP.PA,,,0.32199436,15.028,9.11,0.84239995,24044699648,33827100672,2888719872
STMMI.MI,55.6625000,15.679578000,1.12245400,6.933,1.51,0.76600000,20279496704,17705809920,892321984
STMPA.PA,55.6750000,16.137682000,1.12270620,6.934,1.51,0.76600000,20274896896,17710282752,892321984
SU.PA,28.5634330,24.456867000,4.78676800,18.417,1.70,0.48479998,129359773696,142882684928,563291008
SVT.L,33.6315800,0.162968640,433.36725000,16.447,4.77,1.55470000,7694352384,16322433024,301031008
SWED-A.ST,9.0339775,10.660377500,1.46103380,,8.00,0.72290003,305563762688,1064494956544,1124230016
SY1.DE,22.3581280,22.607244000,3.05262000,13.445,1.48,0.33060002,11343895552,13404549120,139772000
TEF.MC,,13.071428000,1.49265900,7.833,6.56,1.11110000,25793482752,67629477888,5637919744
TEL2-B.ST,27.8355700,25.098335000,5.83600100,12.829,3.80,1.11760000,115034390528,144723968000,684337984
TELIA.ST,26.6691170,18.600000000,2.86900800,8.187,5.51,1.47060000,142615822336,230326927360,3932059904
TEN.MI,9.6835440,9.272728000,0.97694910,5.171,4.97,0.44860000,15953310720,13829861376,1042700032
TEP.PA,7.8835190,3.771191100,0.94655716,5.165,6.65,0.52040000,3826787584,8228857856,58142600
TIT.MI,,44.230000000,0.79265225,6.060,,0.00000000,9797784576,21911658496,15233000448
TRN.MI,16.2961540,17.293877000,2.99752400,11.074,4.67,0.76190000,17049434112,29000667136,2006759936
TSCO.L,19.0304360,0.152508700,251.40724000,9.318,3.15,0.54040000,28717236224,39357767680,6487549952
TTE.PA,11.0572030,6.967957500,0.98581433,4.366,6.44,0.64419997,113734533120,154822737920,2179239936
TW.L,49.0000040,0.094869316,82.91032000,8.022,9.60,3.94170020,3519091712,3179120128,3541390080
UBSG.SW,21.4105970,16.751297000,1.14767490,,2.27,0.47619998,102459588608,133431459840,3169179904
UCG.MI,10.0786690,11.253379000,1.52588190,,3.64,0.36360002,102382952448,148065959936,1530089984
ULVR.L,23.8865970,14.805111000,638.46790000,12.042,3.30,0.80120003,115564535808,142407417856,2451879936
UMG.AS,17.4468100,24.117647000,9.25159800,22.221,2.09,0.36880000,45113696256,48353587200,1833890048
UNA.AS,23.9464280,20.790699000,7.39046570,13.555,3.36,0.79680000,132981071872,160305545216,2451879936
UNI.MC,10.0083330,16.013332000,0.88438874,,5.82,0.56630003,6168408064,12778109952,2568029952
UNI.MI,10.8074530,12.517985000,1.39803950,,4.88,0.52800000,12482168832,15804169216,717366016
URW.PA,16.5430700,9.515274000,0.82504460,16.353,4.00,0.65540004,12685093888,38747578368,143299008
UTG.L,10.1928580,0.150210530,71.52165000,22.120,5.32,0.53590000,3490292480,4758050304,489179008
UU.L,28.9615400,0.144677860,385.10056000,15.304,4.60,1.30410000,7701924864,16818029568,681888000
VIE.PA,18.8831180,13.980770000,3.15675200,8.029,4.83,0.90910006,20884092928,44093493248,718160000
VNA.DE,66.2750000,12.868933000,0.91571670,38.456,4.58,3.05000000,22152339456,67563126784,835622016
VOD.L,,10.942500000,41.42925000,7.126,4.41,1.01750000,21183016960,60659773440,24074500096
VOLV-B.ST,14.6819900,11.032129000,3.40785050,12.697,2.91,0.42740002,554388553728,765647257600,1588669952
VOW3.DE,6.1336517,3.822982800,0.30544332,9.920,6.20,0.37950000,51784577024,264126152704,206204992
WEIR.L,21.6806700,0.196138050,375.10907000,17.337,1.63,0.33500000,6745126400,7876120064,259612000
WKL.AS,22.4369740,19.777779000,27.86329500,14.874,2.30,0.48950002,25574756352,29018519552,229563008
WPP.L,11.2771435,0.044949327,134.34310000,7.131,8.01,1.13870000,4285652224,9811918848,1078759936
WTB.L,22.1205700,0.135121090,164.33954000,13.092,3.13,0.70629996,5463427584,10197060608,172660000
ZAL.DE,24.4615400,48.923080000,2.37247060,10.704,,0.00000000,6594022912,6123932160,259199008
ZURN.SW,17.5755710,15.174434000,3.28685900,7.797,4.91,0.83589995,81614733312,68835426304,142284992
