TICKER,YEAR,ASSETS,LIABILITIES,EQUITY,REVENUE,EXPENSES,NET_INCOME,OPERATING_CF,INVESTING_CF,FINANCING_CF,FREE_CF,NET_MARGIN,ROA,ROE,DEBT_EQUITY
AIR.DE,2022,115944000000.0000,102962000000.0000,12950000000.0000,58763000000.0000,54516000000.0000,4247000000.000000,6288000000.00000,-3113000000.000000,-2115000000.000000,3824000000.00000,0.072,0.037,0.328,7.951
AIR.DE,2023,118871000000.0000,101141000000.0000,17695000000.0000,65446000000.0000,61657000000.0000,3789000000.000000,6255000000.00000,-4128000000.000000,-1276000000.000000,3204000000.00000,0.058,0.032,0.214,5.716
AIR.DE,2024,129213000000.0000,109517000000.0000,19606000000.0000,69230000000.0000,64998000000.0000,4232000000.000000,7402000000.00000,-6653000000.000000,-2570000000.000000,3733000000.00000,0.061,0.033,0.216,5.586
AIR.PA,2021,107047000000.0000,97561000000.0000,9466000000.0000,52149000000.0000,47936000000.0000,4213000000.000000,4639000000.00000,-2719000000.000000,-2179000000.000000,2711000000.00000,0.081,0.039,0.445,10.306
AIR.PA,2022,115944000000.0000,102962000000.0000,12950000000.0000,58763000000.0000,54516000000.0000,4247000000.000000,6288000000.00000,-3113000000.000000,-2115000000.000000,3824000000.00000,0.072,0.037,0.328,7.951
AIR.PA,2023,118871000000.0000,101141000000.0000,17695000000.0000,65446000000.0000,61657000000.0000,3789000000.000000,6255000000.00000,-4128000000.000000,-1276000000.000000,3204000000.00000,0.058,0.032,0.214,5.716
AIR.PA,2024,129213000000.0000,109517000000.0000,19606000000.0000,69230000000.0000,64998000000.0000,4232000000.000000,7402000000.00000,-6653000000.000000,-2570000000.000000,3733000000.00000,0.061,0.033,0.216,5.586
AKZA.AS,2021,13878000000.0000,8242000000.0000,5425000000.0000,9587000000.0000,8758000000.0000,829000000.000000,605000000.00000,-134000000.000000,-974000000.000000,317000000.00000,0.086,0.060,0.153,1.519
AKZA.AS,2022,14741000000.0000,10193000000.0000,4333000000.0000,10846000000.0000,10494000000.0000,352000000.000000,263000000.00000,-1095000000.000000,1141000000.000000,-29000000.00000,0.032,0.024,0.081,2.352
AKZA.AS,2023,14558000000.0000,10012000000.0000,4322000000.0000,10668000000.0000,10226000000.0000,442000000.000000,1126000000.00000,-144000000.000000,-827000000.000000,840000000.00000,0.041,0.030,0.102,2.317
AKZA.AS,2024,14249000000.0000,9433000000.0000,4574000000.0000,10711000000.0000,10169000000.0000,542000000.000000,673000000.00000,-132000000.000000,-684000000.000000,367000000.00000,0.051,0.038,0.118,2.062
ALC.SW,2021,27999000000.0000,8743000000.0000,19256000000.0000,8291000000.0000,7915000000.0000,376000000.000000,1345000000.00000,-1198000000.000000,-123000000.000000,165000000.00000,0.045,0.013,0.020,0.454
ALC.SW,2022,29165000000.0000,9488000000.0000,19677000000.0000,8717000000.0000,8382000000.0000,335000000.000000,1217000000.00000,-1865000000.000000,-8000000.000000,472000000.00000,0.038,0.011,0.017,0.482
ALC.SW,2023,29614000000.0000,8990000000.0000,20624000000.0000,9455000000.0000,8481000000.0000,974000000.000000,1388000000.00000,-1094000000.000000,-211000000.000000,537000000.00000,0.103,0.033,0.047,0.436
ALC.SW,2024,30347000000.0000,8794000000.0000,21553000000.0000,9911000000.0000,8893000000.0000,1018000000.000000,2077000000.00000,-1167000000.000000,-322000000.000000,1407000000.00000,0.103,0.034,0.047,0.408
ALFA.ST,2021,64361000000.0000,32017000000.0000,32096000000.0000,40911000000.0000,36152000000.0000,4759000000.000000,5264000000.00000,-5025000000.000000,-2081000000.000000,4035000000.00000,0.116,0.074,0.148,0.998
ALFA.ST,2022,81249000000.0000,45545000000.0000,35382000000.0000,52135000000.0000,47632000000.0000,4503000000.000000,3291000000.00000,-5518000000.000000,3093000000.000000,1438000000.00000,0.086,0.055,0.127,1.287
ALFA.ST,2023,82288000000.0000,44910000000.0000,37033000000.0000,63598000000.0000,57268000000.0000,6330000000.000000,9169000000.00000,-2687000000.000000,-5543000000.000000,6729000000.00000,0.100,0.077,0.171,1.213
ALFA.ST,2024,88803000000.0000,46522000000.0000,41912000000.0000,66953000000.0000,59562000000.0000,7391000000.000000,12159000000.00000,-3281000000.000000,-6738000000.000000,8823000000.00000,0.110,0.083,0.176,1.110
ALV.DE,2021,1096770000000.0000,1031378000000.0000,61157000000.0000,118911000000.0000,112301000000.0000,6610000000.000000,25124000000.00000,-19783000000.000000,-3786000000.000000,23713000000.00000,0.056,0.006,0.108,16.864
ALV.DE,2022,935897000000.0000,877162000000.0000,54415000000.0000,61943000000.0000,55522000000.0000,6421000000.000000,17952000000.00000,-14992000000.000000,-4367000000.000000,16334000000.00000,0.104,0.007,0.118,16.120
ALV.DE,2023,983174000000.0000,921614000000.0000,58239000000.0000,103012000000.0000,94471000000.0000,8541000000.000000,24462000000.00000,-12007000000.000000,-5724000000.000000,22322000000.00000,0.083,0.009,0.147,15.825
ALV.DE,2024,1044578000000.0000,980502000000.0000,60287000000.0000,119527000000.0000,109596000000.0000,9931000000.000000,31903000000.00000,-25675000000.000000,-4364000000.000000,29988000000.00000,0.083,0.010,0.165,16.264
ALW.L,2021,3753989000.0000,394809000.0000,3359180000.0000,549558000.0000,9535000.0000,540023000.000000,35848000.00000,100383000.000000,-156383000.000000,35848000.00000,0.983,0.144,0.161,0.118
ALW.L,2022,3111058000.0000,216039000.0000,2895019000.0000,-229098000.0000,13547000.0000,-242645000.000000,64291000.00000,281345000.000000,-345837000.000000,64291000.00000,1.059,-0.078,-0.084,0.075
ALW.L,2023,3576624000.0000,239936000.0000,3336688000.0000,609165000.0000,9496000.0000,599669000.000000,46974000.00000,110522000.000000,-157649000.000000,46974000.00000,0.984,0.168,0.180,0.072
ALW.L,2024,5596388000.0000,374435000.0000,5221953000.0000,507171000.0000,16468000.0000,490703000.000000,37418000.00000,-5108000.000000,67083000.000000,37418000.00000,0.968,0.088,0.094,0.072
AMP.MI,2021,3515291000.0000,2588010000.0000,925178000.0000,1948075000.0000,1790290000.0000,157785000.000000,462369000.00000,-533606000.000000,-208639000.000000,348967000.00000,0.081,0.045,0.171,2.797
AMP.MI,2022,3575465000.0000,2535115000.0000,1038509000.0000,2119126000.0000,1940601000.0000,178525000.000000,458622000.00000,-193781000.000000,-353801000.000000,342988000.00000,0.084,0.050,0.172,2.441
AMP.MI,2023,3693215000.0000,2591537000.0000,1100919000.0000,2260084000.0000,2104945000.0000,155139000.000000,413543000.00000,-261481000.000000,-135057000.000000,271890000.00000,0.069,0.042,0.141,2.354
AMP.MI,2024,3992762000.0000,2842538000.0000,1150002000.0000,2409241000.0000,2263867000.0000,145374000.000000,451158000.00000,-335100000.000000,-18848000.000000,304737000.00000,0.060,0.036,0.126,2.472
AMRZ.SW,2021,,,,8132000000.0000,7291000000.0000,841000000.000000,1492000000.00000,-2498000000.000000,1236000000.000000,1098000000.00000,0.103,,,
AMRZ.SW,2022,20670000000.0000,12460000000.0000,8209000000.0000,10726000000.0000,9618000000.0000,1108000000.000000,1988000000.00000,-2521000000.000000,497000000.000000,1500000000.00000,0.103,0.054,0.135,1.518
AMRZ.SW,2023,23047000000.0000,13844000000.0000,9203000000.0000,11677000000.0000,10721000000.0000,956000000.000000,2036000000.00000,-2025000000.000000,734000000.000000,1406000000.00000,0.082,0.041,0.104,1.504
AMRZ.SW,2024,23517000000.0000,10210000000.0000,13308000000.0000,11704000000.0000,10285000000.0000,1419000000.000000,2282000000.00000,-1208000000.000000,-537000000.000000,1640000000.00000,0.121,0.060,0.107,0.767
AMS.MC,2021,11181900000.0000,7436900000.0000,3745300000.0000,2670000000.0000,2812400000.0000,-142400000.000000,636300000.00000,-205500000.000000,-865800000.000000,176100000.00000,-0.053,-0.013,-0.038,1.986
AMS.MC,2022,11714500000.0000,7129000000.0000,4586200000.0000,4485900000.0000,3821500000.0000,664400000.000000,1440800000.00000,-493300000.000000,-640100000.000000,874100000.00000,0.148,0.057,0.145,1.554
AMS.MC,2023,10795400000.0000,6312900000.0000,4483400000.0000,5441200000.0000,4323600000.0000,1117600000.000000,1794900000.00000,4500000.000000,-2185500000.000000,1194400000.00000,0.205,0.104,0.249,1.408
AMS.MC,2024,11784300000.0000,6721900000.0000,5063600000.0000,6141700000.0000,4888700000.0000,1253000000.000000,2146000000.00000,-1146400000.000000,-990100000.000000,1357900000.00000,0.204,0.106,0.247,1.327
ANA.MC,2021,19603000000.0000,14046000000.0000,4312000000.0000,8104000000.0000,7772000000.0000,332000000.000000,574000000.00000,-1087000000.000000,384000000.000000,-374000000.00000,0.041,0.017,0.077,3.257
ANA.MC,2022,22595000000.0000,16291000000.0000,4885000000.0000,11195000000.0000,10754000000.0000,441000000.000000,1648000000.00000,-1944000000.000000,338000000.000000,-547000000.00000,0.039,0.020,0.090,3.335
ANA.MC,2023,31650000000.0000,24904000000.0000,5009000000.0000,17021000000.0000,16480000000.0000,541000000.000000,1695000000.00000,-3208000000.000000,2903000000.000000,-1199000000.00000,0.032,0.017,0.108,4.972
ANA.MC,2024,34620000000.0000,28244000000.0000,4812000000.0000,19190000000.0000,18768000000.0000,422000000.000000,2239000000.00000,-2465000000.000000,760000000.000000,-492000000.00000,0.022,0.012,0.088,5.869
ANE.MC,2021,10654000000.0000,5300000000.0000,4975000000.0000,2472000000.0000,2109000000.0000,363000000.000000,865000000.00000,-707000000.000000,-8000000.000000,144000000.00000,0.147,0.034,0.073,1.065
ANE.MC,2022,12259000000.0000,5998000000.0000,5870000000.0000,4351000000.0000,3592000000.0000,759000000.000000,1337000000.00000,-1241000000.000000,-114000000.000000,212000000.00000,0.174,0.062,0.129,1.022
ANE.MC,2023,14672000000.0000,8438000000.0000,5850000000.0000,3547000000.0000,3023000000.0000,524000000.000000,364000000.00000,-1898000000.000000,1662000000.000000,-1543000000.00000,0.148,0.036,0.090,1.442
ANE.MC,2024,16244000000.0000,10007000000.0000,5843000000.0000,3048000000.0000,2691000000.0000,357000000.000000,681000000.00000,-1451000000.000000,522000000.000000,-949000000.00000,0.117,0.022,0.061,1.713
ANTO.L,2021,17278400000.0000,6249400000.0000,8350200000.0000,7470100000.0000,6179900000.0000,1290200000.000000,3670100000.00000,-2203300000.000000,-1949900000.000000,1892600000.00000,0.173,0.075,0.155,0.748
ANTO.L,2022,18238300000.0000,6593900000.0000,8627500000.0000,5862000000.0000,4329000000.0000,1533000000.000000,1876900000.00000,-477500000.000000,-1333800000.000000,-2300000.00000,0.262,0.084,0.178,0.764
ANTO.L,2023,19647200000.0000,7598800000.0000,8951900000.0000,6324500000.0000,5489400000.0000,835100000.000000,2333000000.00000,-2093000000.000000,-402000000.000000,203800000.00000,0.132,0.043,0.093,0.849
