Ticker,Year,Close,High,Low,Open,Volume
ABBN.SW,2020,23.704364776611328,24.46221351623535,13.535758018493652,22.36134147644043,2439926404
ABBN.SW,2021,33.47965621948242,33.863380432128906,23.905818939208984,23.963376998901367,1291146349
ABBN.SW,2022,28.059999465942383,34.333438873291016,23.838668823242188,33.633148193359375,1106068834
ABBN.SW,2023,37.29999923706055,37.869998931884766,28.229999542236328,28.3799991607666,826940443
ABBN.SW,2024,49.06999969482422,52.47999954223633,35.150001525878906,37.2599983215332,713724537
ABBN.SW,2025,53.86000061035156,54.52000045776367,37.25,49.2599983215332,454406351
ALC.SW,2020,58.84000015258789,63.29999923706055,38.625,54.40999984741211,465213884
ALC.SW,2021,80.73999786376953,81.4000015258789,57.060001373291016,59.880001068115234,227394280
ALC.SW,2022,63.18000030517578,80.69999694824219,55.220001220703125,80.4000015258789,216479905
ALC.SW,2023,65.63999938964844,75.4000015258789,58.29999923706055,63.68000030517578,217485181
ALC.SW,2024,76.9000015258789,85.33999633789062,62.2400016784668,62.36000061035156,191841433
ALC.SW,2025,70.05999755859375,87.0,67.33999633789062,75.41999816894531,153386634
AMS.SW,2020,104.00993347167969,175.37625122070312,41.829612731933594,143.24209594726562,162929678
AMS.SW,2021,89.15520477294922,133.3433074951172,81.74127197265625,104.86951446533203,101149449
AMS.SW,2022,36.2637939453125,95.09172058105469,28.269641876220703,89.18206787109375,83454881
AMS.SW,2023,21.139999389648438,53.509239196777344,13.8149995803833,37.488704681396484,122979703
AMS.SW,2024,5.935999870300293,23.729999542236328,5.409999847412109,21.1299991607666,144456987
AMS.SW,2025,10.4399995803833,12.850000381469727,4.940000057220459,6.113999843597412,91675093
CFR.SW,2020,80.08000183105469,81.66000366210938,44.63999938964844,75.95999908447266,665693183
CFR.SW,2021,136.9499969482422,146.10000610351562,78.9800033569336,81.26000213623047,336042603
CFR.SW,2022,119.9000015258789,147.60000610351562,90.27999877929688,138.60000610351562,298196431
CFR.SW,2023,115.75,161.10000610351562,102.94999694824219,122.4000015258789,272500235
CFR.SW,2024,137.89999389648438,151.10000610351562,104.0999984741211,114.80000305175781,246162238
CFR.SW,2025,131.8000030517578,187.5500030517578,120.5999984741211,138.35000610351562,158214674
CSGN.SW,,,,,,
GEBN.SW,2020,554.2000122070312,576.4000244140625,361.3999938964844,539.7999877929688,42242667
GEBN.SW,2021,745.2000122070312,780.0,528.5999755859375,559.5999755859375,25776342
GEBN.SW,2022,435.5,752.2000122070312,406.5,744.0,29795629
GEBN.SW,2023,539.0,552.0,409.0,443.5,24105189
GEBN.SW,2024,514.5999755859375,571.2000122070312,477.5,534.2000122070312,18484833
GEBN.SW,2025,636.7999877929688,653.7999877929688,486.5,516.2000122070312,13653469
GIVN.SW,2020,3730.0,4099.0,2505.0,3032.0,8328773
GIVN.SW,2021,4792.0,4858.0,3401.0,3767.0,4714415
GIVN.SW,2022,2833.0,4871.0,2672.0,4846.0,6061421
GIVN.SW,2023,3484.0,3526.0,2691.0,2897.0,4875583
GIVN.SW,2024,3966.0,4690.0,3287.0,3450.0,4204055
GIVN.SW,2025,3335.0,4236.0,3319.0,3998.0,2697554
HOLN.SW,2020,48.619998931884766,53.939998626708984,28.299999237060547,53.220001220703125,781432686
HOLN.SW,2021,46.5099983215332,58.459999084472656,43.18000030517578,49.18000030517578,465253054
HOLN.SW,2022,47.880001068115234,52.79999923706055,38.7599983215332,46.779998779296875,461730273
HOLN.SW,2023,66.0199966430664,67.66000366210938,48.02000045776367,48.13999938964844,357738994
HOLN.SW,2024,87.36000061035156,92.76000213623047,63.02000045776367,66.45999908447266,294388328
HOLN.SW,2025,67.9000015258789,101.94999694824219,46.644752502441406,87.66000366210938,210455731
KNIN.SW,2020,200.8000030517578,207.89999389648438,119.25,162.0500030517578,80242565
KNIN.SW,2021,294.3999938964844,364.6000061035156,194.64999389648438,200.0,42716115
KNIN.SW,2022,215.1999969482422,298.70001220703125,197.10000610351562,297.29998779296875,45535862
KNIN.SW,2023,289.79998779296875,296.70001220703125,213.0,219.5,43955067
KNIN.SW,2024,207.8000030517578,301.8999938964844,200.1999969482422,289.79998779296875,47699689
KNIN.SW,2025,170.8000030517578,218.8000030517578,159.89999389648438,208.8000030517578,36609089
LOGN.SW,2020,85.91999816894531,89.62000274658203,28.670000076293945,45.84000015258789,363709556
LOGN.SW,2021,76.87999725341797,124.9000015258789,70.77999877929688,87.0,262204728
LOGN.SW,2022,57.060001373291016,79.86000061035156,42.06999969482422,76.4000015258789,250805469
LOGN.SW,2023,79.76000213623047,83.26000213623047,45.560001373291016,58.13999938964844,205533076
LOGN.SW,2024,75.04000091552734,93.5,67.5199966430664,79.9800033569336,153436471
LOGN.SW,2025,79.55999755859375,94.9000015258789,54.58000183105469,74.0199966430664,103688012
LONN.SW,2020,568.7999877929688,637.7999877929688,301.0,349.70001220703125,94377035
LONN.SW,2021,761.5999755859375,785.4000244140625,516.2000122070312,578.7999877929688,44652420
LONN.SW,2022,453.1000061035156,768.7999877929688,436.79998779296875,768.4000244140625,43595105
LONN.SW,2023,353.70001220703125,599.4000244140625,308.6000061035156,456.20001220703125,51983597
LONN.SW,2024,535.7999877929688,589.4000244140625,339.0,354.0,46004640
LONN.SW,2025,550.5999755859375,616.0,467.79998779296875,537.0,23863899
NESN.SW,2020,104.26000213623047,112.62000274658203,83.37000274658203,104.5,1657375436
NESN.SW,2021,127.44000244140625,128.89999389648438,95.0,105.08000183105469,1008785787
NESN.SW,2022,107.13999938964844,129.8000030517578,103.41999816894531,128.27999877929688,962948132
