Ticker,Year,Close,High,Low,Open,Volume
ABB.ST,2020,219.63645935058594,232.77627563476562,138.6395263671875,215.80001831054688,465692250
ABB.ST,2021,331.2770080566406,334.5379638671875,221.8424072265625,221.8424072265625,280247780
ABB.ST,2022,316.20001220703125,340.100830078125,251.8625946044922,332.9075012207031,232430072
ABB.ST,2023,445.29998779296875,448.0,314.29998779296875,317.8999938964844,188828814
ABB.ST,2024,595.4000244140625,652.0,423.8999938964844,445.29998779296875,143574316
ABB.ST,2025,638.5999755859375,652.5999755859375,442.20001220703125,595.4000244140625,107620265
ALFA.ST,2020,226.3000030517578,260.5,145.89999389648438,236.3000030517578,284183993
ALFA.ST,2021,364.3999938964844,390.79998779296875,216.5,226.3000030517578,207601657
ALFA.ST,2022,301.1000061035156,386.8999938964844,234.39999389648438,364.0,207853068
ALFA.ST,2023,403.3999938964844,407.3999938964844,300.3999938964844,301.1000061035156,161023067
ALFA.ST,2024,462.6000061035156,497.70001220703125,364.70001220703125,404.29998779296875,139553867
ALFA.ST,2025,418.6000061035156,496.8999938964844,365.20001220703125,464.6000061035156,96778856
ASSA-B.ST,2020,202.5,248.5,158.8000030517578,219.5,620649160
ASSA-B.ST,2021,276.20001220703125,290.6000061035156,200.1999969482422,204.3000030517578,421295000
ASSA-B.ST,2022,223.6999969482422,283.5,199.3000030517578,275.0,402017451
ASSA-B.ST,2023,290.29998779296875,292.0,224.1999969482422,225.8000030517578,400036069
ASSA-B.ST,2024,326.79998779296875,349.5,277.0,290.29998779296875,357249367
ASSA-B.ST,2025,329.6000061035156,343.29998779296875,252.5,327.1000061035156,268079672
ATCO-A.ST,2020,105.2750015258789,112.44999694824219,64.55000305175781,93.5999984741211,1577201484
ATCO-A.ST,2021,156.4499969482422,157.75,105.75,105.9000015258789,973152744
ATCO-A.ST,2022,123.0999984741211,162.5,91.3499984741211,157.14999389648438,1193766198
ATCO-A.ST,2023,173.5500030517578,174.14999389648438,119.44000244140625,124.9000015258789,1084497694
ATCO-A.ST,2024,168.85000610351562,206.39999389648438,159.8000030517578,173.75,941862917
ATCO-A.ST,2025,146.6999969482422,195.60000610351562,130.0,169.39999389648438,779668003
ATCO-B.ST,2020,92.07499694824219,98.32499694824219,55.79999923706055,81.5,724491444
ATCO-B.ST,2021,133.0500030517578,133.60000610351562,92.57499694824219,92.80000305175781,457369484
ATCO-B.ST,2022,111.0999984741211,137.0500030517578,82.30000305175781,133.35000610351562,606435010
ATCO-B.ST,2023,149.39999389648438,150.0,106.54000091552734,112.26000213623047,450013559
ATCO-B.ST,2024,149.4499969482422,178.4499969482422,139.4499969482422,149.85000610351562,363278163
ATCO-B.ST,2025,130.6999969482422,174.75,115.75,150.10000610351562,311641604
BOL.ST,2020,291.3999938964844,302.20001220703125,137.14999389648438,248.60000610351562,456455994
BOL.ST,2021,350.0,362.20001220703125,268.6000061035156,295.0,359880504
BOL.ST,2022,391.25,514.5999755859375,298.6499938964844,350.0,340545007
BOL.ST,2023,314.5,478.6499938964844,265.95001220703125,394.3500061035156,295740705
BOL.ST,2024,310.5,386.5,257.1000061035156,314.5,297775132
BOL.ST,2025,319.6000061035156,393.0,259.3999938964844,315.0,177414168
CE.ST,2020,31.968408584594727,91.33831024169922,27.207155227661133,67.14337158203125,16089407
CE.ST,2021,34.599998474121094,70.34992980957031,28.37317657470703,32.06557846069336,20197160
CE.ST,2022,17.799999237060547,40.650001525878906,13.399999618530273,35.0,19828537
CE.ST,2023,6.599999904632568,21.0,5.050000190734863,17.799999237060547,11561910
CE.ST,2024,0.1599999964237213,8.300000190734863,0.1289999932050705,6.599999904632568,267883360
CE.ST,2025,0.17599999904632568,0.25,0.14000000059604645,0.17000000178813934,27061307
ELUX-B.ST,2020,191.35000610351562,215.8000030517578,98.98744201660156,189.6434326171875,374798054
ELUX-B.ST,2021,219.5,261.29998779296875,178.83999633789062,192.1999969482422,341707764
ELUX-B.ST,2022,140.77999877929688,224.6999969482422,114.0199966430664,219.5,492698435
ELUX-B.ST,2023,108.0999984741211,175.14999389648438,86.87999725341797,141.86000061035156,412616899
ELUX-B.ST,2024,91.9000015258789,110.19999694824219,77.5199966430664,108.8499984741211,439211239
ELUX-B.ST,2025,60.0,111.55000305175781,56.81999969482422,92.68000030517578,345072639
ENG.ST,,,,,,
ERIC-B.ST,,,,,,
ESSITY-B.ST,2020,264.5,324.70001220703125,254.60000610351562,301.29998779296875,452824146
ESSITY-B.ST,2021,295.3999938964844,310.0,253.8000030517578,267.0,354640617
ESSITY-B.ST,2022,273.29998779296875,296.79998779296875,211.89999389648438,296.0,376493722
ESSITY-B.ST,2023,250.0,314.5,228.5,274.5,337530500
ESSITY-B.ST,2024,295.70001220703125,326.0,228.39999389648438,250.0,320930809
ESSITY-B.ST,2025,246.6999969482422,312.3999938964844,238.89999389648438,296.70001220703125,237971221
GETI-B.ST,2020,192.10000610351562,217.1999969482422,136.0,173.89999389648438,328998111
GETI-B.ST,2021,395.1000061035156,431.6000061035156,191.64999389648438,193.5,214741946
GETI-B.ST,2022,216.3000030517578,399.20001220703125,178.39999389648438,395.1000061035156,224289997
GETI-B.ST,2023,224.3000030517578,275.20001220703125,174.1999969482422,217.89999389648438,202845985
GETI-B.ST,2024,181.5500030517578,240.1999969482422,164.35000610351562,224.39999389648438,211193190
GETI-B.ST,2025,201.8000030517578,226.3000030517578,177.25,182.5500030517578,149043120
HEXA-B.ST,2020,107.11428833007812,108.42857360839844,48.38571548461914,75.0857162475586,1231508628
