ID,FECHA,TITULAR,URL_ARCHIVO,FUENTE,IDIOMA,SENTIMIENTO_RESULTADO,PROBABILIDAD_POSITIVO,PROBABILIDAD_NEGATIVA,PROBABILIDAD_NEUTRAL
fa6235a1-988d-4921-bebd-b4eeb84be101,2025-09-11,Nepal turmoil adds to India's woes in South Asia,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
60cddbf5-d50f-481f-9897-2f624f0a5a15,2025-09-11,"'We are still waiting, still suffering': The legacy of a deadly Nigerian dam collapse",https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
7bb31798-137f-4d0c-a486-17df24023946,2025-09-11,Manhunt in New York City after 'horrific' murders of elderly couple at home,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
79b247fc-d0c6-4bbf-a5e8-0d655f65dd2e,2025-09-11,Qatar says search continues at site of Israeli strike targeting Hamas leaders,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
7718ba2b-16a3-4971-877c-d486fa0f4744,2025-09-11,Suspect in fatal stabbing of Ukrainian refugee charged with federal crime,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
901d0a0b-69da-4895-90f6-41b2e65e2b73,2025-09-11,The Times & The Sunday Times Homepage,https://web.archive.org/web/20250911120000/https://www.thetimes.com/,THE TIMES,en,,,,
5fa27ade-d8b4-4d39-ad2b-60b25882da82,2025-09-11,Trump is used to shaking off criticism - but the Epstein story is different,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
c600cb6b-d038-40f6-99c3-d61a953ae51f,2025-09-11,More from News Corp,https://web.archive.org/web/20250911120000/https://www.thetimes.com/,THE TIMES,en,,,,
6211b659-285a-431d-a006-257a90697290,2025-09-11,Students flee as Kirk shot in front of crowd of hundreds,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
82bd5168-4873-4032-ba76-b30a949e8ac8,2025-09-11,Accidental or deliberate? Russia's drone incursion into Poland is a test for Nato,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
56b1b06d-80a4-4f5a-a09c-fe2743545b7d,2025-09-11,Everton's biggest net spend - how they are turning fortunes around,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
a2a8323e-2a1c-4c05-ad3b-da3c2c22ac2f,2025-09-11,"'I woke up with sick on my arms, my shirt, my face'",https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
89a958ba-b358-4a40-a755-365efe5c9cef,2025-09-11,Ex-sergeant major admits sexually assaulting soldier who took her own life,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
39a65d4d-d214-40ab-9964-51f0d0c8238f,2025-09-11,Manhunt for Charlie Kirk killer continues as Trump says it is 'dark moment for America',https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
d6737271-17f5-44b8-bd0e-6615fd554ebd,2025-09-11,From 'nepo kids' to PM resignation: How the Nepal protests unfolded,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
606efa3a-8630-48d8-9e4f-c79e2d1c5787,2025-09-11,"'Netanyahu, we're not leaving': Defiance in Gaza City as Israel shows aid sites planned for evacuees",https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
cf18673e-eea8-4d70-aa5d-d3a15d28ebf3,2025-09-11,Harry's tea with Charles could be small but significant step to reconciliation,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
75450052-0458-480e-ab62-a8b0e2442cee,2025-09-11,Firms will hesitate to invest in US after raid - S Korea president,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
e016f49d-df49-4ba6-b580-6a264ad56036,2025-09-11,Life on Mars? 'Leopard-spot' rocks could be biggest clue yet,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
176612d8-def9-4807-8c74-0f12cf9522e8,2025-09-11,How did your club's players do on international duty?,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
f598dad4-e8fe-443f-a258-35f5da4c5c20,2025-09-11,'Traumatising for everyone': Witnesses describe Charlie Kirk shooting scene,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
017a9a3a-49ce-49ec-b4e1-d531f6ba11df,2025-09-11,Footage shows second claimed attack on Greta Thunberg Gaza flotilla,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
760a4433-7abb-4f7f-ba7a-de929f2fdd4f,2025-09-11,Mothers and staff tell of global charity's role in child disappearances under Assad regime,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
6cee13dc-82ee-4957-b41b-25ec617f85d1,2025-09-11,Killing of Trump ally lays bare America's bloody and broken politics,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
1aa38486-76e4-4bc1-8642-a2298b7c0fcc,2025-09-11,Questions mount for rugby's rebel R360 circuit,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
1e61fd68-e6fa-4233-b7c7-7c9a40accc0e,2025-09-11,Manhunt intensifies for suspect who killed Charlie Kirk,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
4480d9ea-ade1-444a-acb4-7d73131a39a7,2025-09-11,Pellizzari wins stage as riders consider abandoning Vuelta,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
35d86e38-8dcf-4482-a8cc-4a40c92c951d,2025-09-11,Watch: Footage shows second claimed attack on Greta Thunberg Gaza flotilla,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
218c2c0c-5d50-4cff-80bd-42bb10f244b8,2025-09-11,Charlie Kirk: Conservative influencer who rallied a youth movement,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
6ad08d31-05b1-46d7-8568-1c45a8cdf6d7,2025-09-11,Putin and Netanyahu present twin challenges to Trump's diplomacy,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
6c2261e9-5e4f-46da-9be4-1e53d423f2f0,2025-09-11,Larry Ellison briefly tops Elon Musk as world's richest person,https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
e143227d-b2cd-4f41-a229-5bd0edcfbe65,2025-09-11,More from The Times and The Sunday Times,https://web.archive.org/web/20250911120000/https://www.thetimes.com/,THE TIMES,en,,,,
071cda0d-790d-4273-b57a-d437c9729cfe,2025-09-11,"Firms will hesitate to invest in US after raid, says S Korea president",https://web.archive.org/web/20250911120000/https://www.bbc.com/news/,BBC,en,,,,
