Ticker,Year,TotalAssets,TotalCurrentAssets,CashCashEquivalentsAndShortTermInvestments,CashAndCashEquivalents,CashOnly,OtherCashEquivalents,OtherShortTermInvestments,NetReceivables,GrossReceivables,ReceivablesGross,AllowanceForDoubtfulAccountsReceivable,TaxesReceivable,DueFromRelatedPartiesCurrent,OtherReceivables,Inventory,FinishedGoods,OtherInventory,InventoryAdjustments,PrepaidAssets,AssetsHeldForSaleCurrent,HedgingAssetsCurrent,OtherCurrentAssets,TotalNonCurrentAssets,NetPPE,GrossPPE,Properties,LandAndImprovements,BuildingsAndImprovements,MachineryFurnitureEquipment,OtherProperties,ConstructionInProgress,AccumulatedDepreciation,GoodwillAndOtherIntangibleAssets,Goodwill,OtherIntangibleAssets,InvestmentsAndAdvances,LongTermEquityInvestment,InvestmentInFinancialAssets,AvailableForSaleSecurities,OtherInvestments,FinancialAssets,ReceivablesNonCurrent,DeferredAssetsNonCurrent,DeferredTaxAssetsNonCurrent,PrepaidAssetsNonCurrent,OtherNonCurrentAssets,MinorityInterestTotalLiabilitiesNet,TotalCurrentLiabilities,AccruedLiabilities,AccountsPayable,Payables,TotalTaxesPayable,IncomeTaxesPayable,DividendsPayable,DueToRelatedPartiesCurrent,OtherPayables,CurrentProvisions,CurrentPensionAndOtherPostRetirementBenefitPlans,CurrentDebtAndCapitalLeaseObligation,CurrentDebt,OtherCurrentBorrowings,CapitalLeaseObligationCurrent,DeferredLiabilitiesCurrent,DeferredRevenueCurrent,OtherCurrentLiabilities,MinorityInterestNonCurrentLiabilitiesNet,LongTermProvisions,LongTermDebtAndCapitalLeaseObligation,LongTermDebt,CapitalLeaseObligationLongTerm,DeferredLiabilitiesNonCurrent,DeferredTaxLiabilitiesNonCurrent,DeferredRevenueNonCurrent,TradeAndOtherPayablesNonCurrent,DueToRelatedPartiesNonCurrent,EmployeeBenefits,PensionAndOtherPostRetirementBenefitPlansNonCurrent,DerivativeProductLiabilities,OtherNonCurrentLiabilities,MinorityInterestTotalEquityGross,TotalEquity,ShareCapital,CommonStock,AdditionalPaidInCapital,RetainedEarnings,TreasuryStock,AccumulatedOtherComprehensiveIncome,CurrencyTranslationAdjustments,OtherEquityAdjustments,OtherEquityInterest,MinorityInterest,TotalCapitalization,CommonSharesOutstanding,FinanceLeaseObligations,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,NetDebt,ShareIssued,OrdinarySharesNumber,TreasurySharesNumber
SAN.MC,2020,,,8975.0,,,8975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.44
SAN.MC,2021,1595835.0,,,234805.0,,,29207.0,5756.0,5756.0,5756.0,,,,5756.0,,,,,2610.0,,,,,32342.0,49952.0,13855.0,,,11525.0,24423.0,149.0,-17610.0,16584.0,12713.0,3871.0,192950.0,7525.0,,114391.0,,,5756.0,,,2610.0,,10123.0,,,2400.0,9902.0,7502.0,7502.0,,,9902.0,,3185.0,690.0,25863.0,,2856.0,,,,10123.0,3160.0,248329.0,246163.0,,,,,9902.0,,4427.0,,59277.0,,10123.0,97053.0,,8670.0,47979.0,68397.0,894.0,,-23887.0,-10348.0,810.0,10123.0,333093.0,,,70346.0,,333093.0,70346.0,249019.0,11358.0,17340.64,17063.05,277.59
SAN.MC,2022,1734659.0,,,247227.0,,,23539.0,9200.0,9200.0,9200.0,,,,9200.0,,,,,3003.0,,,,,33044.0,51736.0,14623.0,,,11730.0,25166.0,217.0,-18692.0,18645.0,13741.0,4904.0,217049.0,7615.0,,134426.0,,,9200.0,,,3003.0,,8481.0,,,3025.0,11861.0,8836.0,8836.0,,,11861.0,,2392.0,707.0,43025.0,,2622.0,,,,8481.0,2733.0,282254.0,280339.0,,,,,11861.0,,3342.0,,74002.0,,8481.0,97585.0,,8397.0,46273.0,76307.0,675.0,,-20420.0,-15994.0,863.0,8481.0,369443.0,,,70459.0,,369443.0,70459.0,282961.0,33112.0,16794.4,16794.4,
SAN.MC,2023,1797062.0,,,246895.0,,,21511.0,10623.0,10623.0,10623.0,,,,10623.0,,,,,2911.0,,,,,32926.0,51547.0,14973.0,,,11026.0,25304.0,244.0,-18621.0,19871.0,14017.0,5854.0,271735.0,7646.0,,165397.0,,,10623.0,,,2911.0,,8818.0,,,3324.0,12156.0,8832.0,8832.0,,,12156.0,,2225.0,46756.0,46170.0,,2400.0,,,,8818.0,2621.0,264223.0,262409.0,,,,,12156.0,,3105.0,,58300.0,,8818.0,104241.0,,8092.0,44373.0,85190.0,1078.0,,-19510.0,-16791.0,915.0,8818.0,357832.0,,,75552.0,,404002.0,75552.0,310979.0,61684.0,16184.15,15886.33,297.82
SAN.MC,2024,1837081.0,,,217892.0,,,19521.0,11426.0,11426.0,11426.0,,,,11426.0,,,,,3016.0,,,,,31212.0,49055.0,15113.0,,,10246.0,23399.0,297.0,-17843.0,19259.0,13438.0,5821.0,314244.0,7277.0,,188164.0,,,11426.0,,,3016.0,,8726.0,,,2454.0,11932.0,9478.0,9478.0,,,11932.0,,1731.0,37821.0,37295.0,,2202.0,,,,8726.0,3044.0,289902.0,288226.0,,,,,11932.0,,2646.0,,62496.0,,8726.0,107327.0,,7576.0,40079.0,94900.0,68.0,,-22375.0,-16236.0,217.0,8726.0,386827.0,,,79342.0,,424122.0,79342.0,327723.0,107629.0,15152.49,15136.96,15.53
SAN.MC,2025,1815888.0,,,288381.0,,,63229.0,9516.0,9516.0,9516.0,,,,9516.0,,,,,,,,,,28174.0,28174.0,,,,,28174.0,,,17249.0,11960.0,5289.0,299457.0,7191.0,,127469.0,,,9516.0,,,,,8484.0,,,,3099.0,3099.0,3099.0,,,3099.0,,1652.0,,,,,,,,8484.0,2694.0,311963.0,311963.0,,,,,3099.0,,2636.0,,54897.0,,8484.0,108985.0,,7443.0,38492.0,98787.0,5.0,,,-44487.0,271.0,8484.0,412464.0,,,83252.0,,412464.0,83252.0,311963.0,23582.0,14885.33,14884.0,1.33
