Ticker,Year,CashAndCashEquivalents,CashFinancial,CashCashEquivalentsAndShortTermInvestments,TradingSecurities,OtherShortTermInvestments,AccountsReceivable,OtherReceivables,LoansHeldForSale,OtherCurrentAssets,LongTermInvestments,InvestmentsAndAdvances,Properties,MachineryFurnitureEquipment,ConstructionInProgress,OtherIntangibleAssets,Goodwill,GoodwillAndOtherIntangibleAssets,OtherNonCurrentAssets,DeferredTaxAssets,NetTangibleAssets,TotalAssets,AccountsPayable,CurrentNotesPayable,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentAccruedExpenses,PayablesAndAccruedExpenses,IncomeTaxPayable,TaxesPayable,SecuritiesSoldUnderRepurchaseAgreements,FederalFundsPurchasedAndSecuritiesSoldUnderRepurchaseAgreements,LiabilitiesOfDiscontinuedOperations,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,TotalDebt,NetDebt,TotalLiabilitiesNetMinorityInterest,StockholdersEquity,ShareIssued,CommonStock,CapitalStock,CommonStockEquity,OrdinarySharesNumber,TreasuryStock,AdditionalPaidInCapital,InvestedCapital,TotalCapitalization,RetainedEarnings,UnrealizedGainLoss,GainsLossesNotAffectingRetainedEarnings,ForeignCurrencyTranslationAdjustments,OtherEquityAdjustments,TotalEquityGrossMinorityInterest,RevaluationReserve,TangibleBookValue
SHL.DE,2023,2247.0,,2371.0,,124.0,4420.0,1727.0,,25.0,,,0.0,2559.0,505.0,7726.0,18118.0,25844.0,33.0,,-7763.0,46684.0,2203.0,,31.0,197.0,,7256.0,,,,,,10.0,436.0,1663.0,1663.0,633.0,,28551.0,18081.0,1128.0,1128.0,1128.0,18081.0,1115.79,607.0,15839.0,18122.0,18091.0,1381.0,,1381.0,,,18133.0,,-7763.0
SHL.DE,2024,2683.0,,2775.0,,92.0,4405.0,1999.0,,38.0,,,0.0,2738.0,608.0,7062.0,17662.0,24724.0,84.0,,-6525.0,46055.0,2126.0,,95.0,267.0,,5426.0,,,,,,0.0,513.0,1510.0,1510.0,780.0,,27807.0,18199.0,1128.0,1128.0,1128.0,18199.0,1119.27,433.0,15872.0,18294.0,18199.0,2154.0,,2154.0,,,18248.0,,-6525.0
SHL.DE,2025,2374.0,,2773.0,,399.0,4358.0,1746.0,,712.0,,,,,,6605.0,17191.0,23796.0,545.0,,-6119.0,44600.0,2138.0,,,256.0,,6350.0,,,,,,,479.0,1426.0,1426.0,735.0,,26880.0,17677.0,1121.56,1128.0,1128.0,17677.0,1121.56,468.0,15862.0,17677.0,17677.0,2701.0,,2701.0,,,17720.0,,-6119.0
SIE.DE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIE.DE,2021,9545.0,,12047.0,,2502.0,13267.0,11730.0,,1752.0,,,9454.0,10232.0,1055.0,10826.0,29672.0,40498.0,2185.0,,3662.0,139372.0,8832.0,,7120.0,7821.0,,10641.0,,,,,,38651.0,40879.0,2337.0,2337.0,48700.0,36226.0,90381.0,44160.0,850.0,2550.0,2550.0,44160.0,802.36,4804.0,7040.0,89931.0,82811.0,39607.0,,39607.0,,,48991.0,,3662.0
SIE.DE,2022,10465.0,,12989.0,,2524.0,14666.0,14036.0,,355.0,,,10610.0,10932.0,1359.0,12197.0,33862.0,46059.0,1564.0,,2836.0,151502.0,10317.0,,5955.0,6658.0,,12698.0,,,,,,41679.0,43978.0,2381.0,2381.0,50636.0,37169.0,96697.0,48895.0,850.0,2550.0,2550.0,48895.0,792.55,5948.0,7174.0,96529.0,90574.0,38959.0,,38959.0,,,54805.0,,2836.0
SIE.DE,2023,10084.0,,12528.0,,2444.0,15454.0,15169.0,,1954.0,,,10894.0,11233.0,1296.0,10641.0,32224.0,42865.0,1524.0,,4917.0,145071.0,10130.0,,6789.0,7483.0,,12696.0,,,,,,36882.0,39113.0,1655.0,1655.0,46596.0,33587.0,92019.0,47782.0,800.0,2400.0,2400.0,47782.0,789.92,1177.0,7411.0,91453.0,84664.0,36866.0,,36866.0,,,53052.0,,4917.0
SIE.DE,2024,9156.0,,11458.0,,2302.0,14955.0,15946.0,,1635.0,,,11084.0,10755.0,1490.0,9592.0,31384.0,40976.0,2197.0,,10288.0,147812.0,8843.0,,5873.0,6598.0,,10648.0,,,,,,38983.0,41321.0,1483.0,1483.0,47919.0,35700.0,91581.0,51264.0,800.0,2400.0,2400.0,51264.0,784.87,2165.0,7757.0,96120.0,90247.0,39657.0,,39657.0,,,56231.0,,10288.0
SIE.DE,2025,14641.0,,26010.0,,11369.0,17043.0,8091.0,,1677.0,,,,,,10472.0,38021.0,48493.0,2084.0,,12094.0,162455.0,8573.0,,,10242.0,,10154.0,,,,,,,46446.0,1459.0,1459.0,56688.0,,96416.0,60587.0,784.87,2400.0,2400.0,60587.0,784.87,2769.0,7646.0,60587.0,60587.0,47198.0,,47198.0,,,66039.0,,12094.0
SIKA.SW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
