Ticker,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherWorkingCapital,ChangesInAccountReceivables,ChangeInAccountPayable,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,CapitalExpenditure,PurchaseOfPropertyPlantAndEquipment,SaleOfPropertyPlantAndEquipment,PurchaseOfIntangibleAssets,SaleOfIntangibleAssets,PurchaseOfInvestment,SaleOfInvestment,PurchaseOfBusiness,SaleOfBusiness,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,NetBusinessPurchaseAndSale,NetOtherInvestingChanges,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,IssuanceOfCapitalStock,CommonStockIssuance,RepurchaseOfCapitalStock,CashDividendsPaid,IssuanceOfDebt,RepaymentOfDebt,IssuanceOfLongTermDebt,RepaymentOfLongTermDebt,NetBorrowings,NetOtherFinancingCharges,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,EffectOfExchangeRateChanges,ChangeInCashSupplementalAsReported,BeginningCashPosition,EndCashPosition,FreeCashFlow
MUV2.DE,375,81,-5739,,,,-5758,,3143,,-316,,,,,,,-340,47,-60,,-154,-293,2,-505,,0,0,-1437,-2006,1487,-141,,,,-131,-2228,,122,,5595,6128,2827
PAH3.DE,1,240,-1,,,,-1,6,1431,,,,,,,,,-74,,0,-203,,-74,,-277,,,,,-783,1591,,,,,-771,37,,,,494,1686,1431
P911.DE,4088,169,-1959,,,,-1852,-347,6353,,-3757,,,,,,,-380,3,-2048,-70,,-377,1,-4120,,,,,-2101,7997,-7570,,,,118,-1679,,6,,5826,6384,2596
QIA.DE,203.27,26.82,135.45,25.53,12.22,1.45,-1.19,4.11,673.55,673.55,-171.24,,,,,-688.38,584.98,0,,-4.07,-103.4,-167.17,0,25.41,-249.23,-249.23,,,-292.1,,494.21,-601.54,,,,-23.47,-422.9,-422.9,-5.96,,668.08,663.55,502.31
RHM.DE,403,-42,434,,,,407,,1720,,-732,,,,,,,-508,24,,0,-722,-484,34,-1172,,,,,-248,793,-773,,,,-6,-234,,-2,,873,1184,988
RWE.DE,3195,-2862,1369,,,,3751,,6620,,-9377,,,,,-3197,4211,-1863,,-9178,1014,,-1863,315,-9712,,598,598,-146,-744,3947,-2277,,,,,1116,,149,,6917,5090,-2757
SAP.DE,1280,-1568,623,899,,603,-632,,5220,5218,-797,,,,,-6401,7533,-1114,0,-675,1132,,-1114,1,-656,-657,,,-2106,-2565,2767,-1495,,,,-13,-3412,-3411,333,,8124,9609,4423
SRT3.DE,415.9,190.5,277.5,,,,,-1.5,976.2,,-409.9,,,,,-15.9,,0,,-409.9,-15.9,,0,,-425.8,,198.3,198.3,,-50.7,12.6,-847.6,,,,789.4,-128.3,,12,,379.2,813.4,566.3
SIE.DE,3158,-835,68,,,,2024,,11665,,-2088,,,,,-942,1158,-413,60,-1851,216,,-353,-1294,-3282,,,,-3765,-3709,6688,-6045,,,,-19,-8880,,-220,,10084,9156,9577
ENR.DE,1511,301,1751,,,,4075,,2889,,-1514,,,,,-162,2623,,277,-1487,2461,,277,-1,1250,,0,0,-130,,,-1688,,,,4,-2258,,-106,,4588,6363,1375
SHL.DE,1223,497,-341,,,,125,,2826,,-696,,,,,-4,80,-46,,-696,76,,-46,,-666,,,,0,-1063,52,-216,,,,-10,-1657,,-66,,2247,2683,2130
SY1.DE,316.01,100.79,-4.21,,,,3.95,101.5,894.91,,-242.85,,,,,-2.73,,-59,3.3,-15.42,-2.73,-227.42,-55.7,4.66,-291.51,,,,,-153.75,12.37,-29.5,,,,-9.97,-281.88,,0.86,,393.03,709.92,652.07
VOW3.DE,31346,903,-28898,,,,-19358,52,17151,,-27446,,,,,,,-2584,231,-16255,-203,,-2353,-1,-31573,,,,,-5779,51542,-40958,,,,8813,11140,,55,,43522,40296,-10295
VNA.DE,134.3,1315.5,332.1,,,,,,2401.6,,,,,,,-2.4,,,,,-2.4,,,-391.2,-187.6,,,,-547.3,,,,,,,-447.6,-1821,,-3.4,,1418.8,1808.4,2401.6
ZAL.DE,349.9,19.1,-89.9,,,,56.3,,654.1,,-206.8,,,,,,,-67.9,,-86.2,0,-120.6,-67.9,4.9,-269.8,,4,4,-99.5,,,-95.5,,,,-0.1,-325.6,,-4.2,,2533.2,2587.8,447.3
NESN.SW,3582,1145,874,,,,-273,,16675,,-5963,,,,,,,-832,,,-1251,,-1364,-46,-8624,,,,-4678,-7816,7992,-5055,,,,-27,-7362,,53,,4816,5556,10712
ROG.SW,3423,1640,1161,,,,,,20094,,-5009,,,,,-5196,198,-2836,1,-1480,-4998,-3468,-2835,1156,-11393,,-1130,-1130,,-7650,7915,-3387,,,,-3,-6819,,-283,,5376,6975,15085
NOVN.SW,6069,-510,-706,,-931,-105,-502,1057,17619,17619,-3814,,,,,-3648,3701,,,-2368,53,-1280,-3921,3,-7513,-7513,,,-8331,-7624,7101,-2711,,,,-207,-11742,-11742,-298,,13393,11459,13805
CFR.SW,1560,105,-693,,,,55,128,4443,,-1180,,,,,-20000,19925,-138,51,-120,-75,-1035,-87,-30,-1548,,162,162,-104,-1710,3,-20,,,,-71,-2550,,42,,4906,5293,3263
ZURN.SW,911,-2,16030,,,,6616,,7603,,-370,,,,,,,-1078,115,,,-361,-1048,,-1404,,,,-1309,-4467,728,-1117,,,,,-6372,,-382,,7645,7090,7233
UBSG.SW,3798,17064,-20804,-23387,,,,,3279,3280,-2008,,,,,-5965,8384,-64,256,,2419,-1900,192,-2,709,711,,,,-2256,100145,-172270,,,,-987,-84165,-84165,-15940,,340207,244090,1271
ABBN.SW,802,251,-143,,,,-15,,4675,,-845,,,,,-1563,2257,-665,,,694,-738,-665,-3,-725,,451,451,-1247,-1769,1914,-2488,,,,-69,-3326,,-207,,3909,4326,3830
LONN.SW,647,5,-200,,,,46,,1274,,-1417,,,,,-404,,-1075,,-36,-404,-1381,-1075,-48,-2916,,9,9,-769,-288,2071,-151,,,,452,1283,,2,,1468,1111,-143
SIKA.SW,555.6,203.9,-176.6,,,,-162.8,,1742.8,,-359,,,,,,,-265.2,,0.2,,18.9,-265.2,,-580.7,,34.7,34.7,-41.4,-264.7,2265.2,-2481.9,,,,-316.3,-1083.9,,-14.6,,643.9,707.5,1383.8
ALC.SW,1228,52,-189,,-55,-15,-28,-44,2077,2077,-670,,,,,-278,9,-220,,-197,-269,-473,-220,-8,-1167,-1167,,,,-130,59,-196,,,,-55,-322,-322,-6,,1094,1676,1407
GIVN.SW,359,86,-43,,,,-26,113,1625,,-293,,,,,,,-229,5,-57,84,-223,-229,-41,-448,,,,,-627,1435,-1632,,,,-15,-1026,,-2,,600,749,1332
HOLN.SW,2219,525,218,,,,-86,,5667,,-1650,,,,,-248,200,-984,472,,-48,-1477,-512,,-2037,,,,,-1570,26,-1421,,,,-12,-4369,,21,,6052,5334,4017
SCMN.SW,2369,104,8,,,,1,-21,3977,,-2288,,,,,-2020,2386,-7374,2,,366,-2244,-7372,-29,-9279,,,,,-1140,8879,-641,,,,-12,6819,,-142,,148,1523,1689
PGHN.SW,48.6,-36.9,-233,,,,,,933.9,,-141.1,,,,,-397.3,273.5,-26.8,4.3,-26.8,-123.8,-114.3,-22.5,,-279,,236.5,236.5,-499.3,-1018,2519.3,-1845,,,,-5.2,-653.1,,6.1,,281,288.9,792.8
SREN.SW,-325,,503,,,,18,,3130,,,,,,,-58516,58300,,,,-216,,,-191,-407,,,,-705,-1978,747,-1355,,,,-61,-2970,,-144,,4555,4133,3130
SOON.SW,248.5,39.5,-45.3,,,,,,793.7,,-137.6,,,,,-21,17.8,-77.3,,-47.8,-3.2,-88.2,-77.3,,-212.7,,29.2,29.2,-67.3,-256.2,,-0.9,,,,,-401.8,,-5.9,,513.6,686.9,656.1
GEBN.SW,149.7,55.9,-4.1,,,,,,847.6,,-195.3,,,,,,,,,,,-188.9,,20.6,-163.5,,,,-214.6,-419.5,442,-398.9,,,,-2.3,-636.7,,3.5,,356.8,407.7,652.3
SLHN.SW,,,,,,,,,,,-130,,,,,,,-339,0,-20,,-109,-339,,-465,,,,-639,-945,1669,-600,,,,3,-580,,27,,5888,5055,56
LOGN.SW,79.76,0.12,-17.34,,69.98,-31.63,23.97,,842.56,842.56,-56.13,,,,,-6.6,7.08,0,,,0.48,-56.13,0,-1.62,-57.27,-57.27,,,-588.84,-207.85,,,,,,-37.07,-797.36,-797.36,-5.57,,1520.84,1503.2,786.43
KNIN.SW,824,22,-644,,,,,15,1484,,-304,,,,,,,,,,,26,-203,,-452,,,,-51,-1182,,-2,,,,-33,-1909,,11,,2008,1142,1180
A2A.MI,884,117,-472,,,,122,,1139,,-1512,,,,,,,-1312,,-461,,-1047,-1312,1,-2813,,,,,,1942,-1031,,,,733,1594,,,,1629,1549,-373
AMP.MI,302.72,60.26,-0.36,,,,-7.71,,451.16,,-146.42,,,,,,,-192.53,2.47,-61.45,,-84.97,-190.06,1.39,-335.1,,,,-25.52,-65.59,,,,,,4.46,-18.85,,-1.52,,193.15,288.83,304.74
AZM.MI,,-4.06,-865.17,,,,-735.52,-129.37,-197.48,,-48.52,,,,,-84.06,,-0.31,322.05,49.58,-84.06,7.86,321.74,,295.12,,,,,-209.49,,,,,,-27.9,-237.39,,,,889.42,749.66,-246
BMED.MI,,2701.18,-351.87,,,,552.96,160.18,1152.19,,-56.48,,,,,,,,,-40.92,,-10.72,,,-15.52,,,,,-584.9,,,,,,,-640.36,,,,188.13,684.44,1095.71
BMPS.MI,,-122.92,-2808.47,,,,,-125.42,-792,,-68.42,,,,,,,,,-37.65,,41.32,,,39.15,,,,,-315.03,,,,,,,-315.03,,,,14317.28,13249.4,-860.42
BAMI.MI,,7895.59,-4456.19,,,,,,5893.44,,-189,,,,,,,-157.84,198.48,-115.46,,-68.02,40.64,,-142.84,,,,,-349.52,,,,,,,-379.61,,,,13130.82,18501.81,5704.44
BPSO.MI,79.47,-13.54,-1657.61,,,,,,-505.88,,-123.35,,,,,,,-0.94,0,-22.46,,-47.3,-0.94,,-41.48,,,,,-251.86,,,,,,,-252.06,,-8.91,,4546.56,3738.22,-629.23
BPE.MI,,115.68,-5514.25,,,,,,-2495.4,,-358.1,,,,,,,-0.05,106.17,-222.43,,-98.98,106.12,,-215.29,,,,,-447.86,,,,,,989.85,513.33,,-0.34,,10085.59,7887.9,-2853.49
BC.MI,153,30.16,-51.9,,,,29.01,,188.93,,-99.38,,,,,-6.35,0,,,-9.18,-6.35,-89.03,-3.95,,-108.95,,,,-11.66,-66.1,211,-38.37,,,,-1.83,-6.51,,1.63,,106.94,182.05,89.55
BZU.MI,272.34,-27.27,-69.03,,,,,,932.62,,-448.41,,,,,-16.26,132.45,-202.92,105.41,-3.04,116.2,-430.66,-97.51,,-240.34,,,,-147.19,-110.96,149.53,-272.57,,,,-8.01,-410.1,,8.47,,1120.71,1410.44,484.2
CPR.MI,127.7,,124.7,,,,78,,670.5,,-460.1,,,,,,,-1208.6,,,8.9,-440.5,-1208.6,,-1601.9,,571,571,-6.4,-78.1,886.6,-346.6,,,,-1.1,981.8,,-4.4,,620.3,666.3,210.4
DIA.MI,129.04,35.47,15.81,,,,22.51,,358.78,,-119.72,,,,,,,,0,-67.59,67.23,-49.45,0,,-49.81,,,,,-61.28,,,,,,,-259.13,,14.11,,280.31,344.27,239.07
ENEL.MI,6683,3401,269,,,,275,,13223,,-10166,,,,,,,0,5622,-1235,,-8931,5622,436,-4108,,,,-27,-5126,6017,-11121,,,,2268,-7989,,-74,,7143,8195,3057
ENI.MI,7600,590,1286,-37,1145,110,,,13092,13092,-8490,,,,,-1514,595,-1795,887,-465,-919,-6650,-908,-875,-9817,-9817,,,-2012,-3068,3516,-5953,,,,2336,-5380,-5380,83,,10205,8183,4602
RACE.MI,666.78,83.67,-382.62,-20.05,-94.03,7.67,,,1926.66,1926.66,-989.15,,,,,,,0,,-506.87,,-480.24,0,,-987.11,-987.11,,,-581.08,-439.92,1112.67,-411.64,,,,-4.79,-324.76,-324.76,5.45,,1121.98,1742.21,937.5
FBK.MI,,5.26,-573.02,,,,,,154.93,,-18.64,,,,,,,0,0,-5.42,,-13.21,0,,-18.64,,,,,-452.1,,,,,,,-451.82,,12.27,,2266.25,1962.99,136.29
G.MI,,7508,5783,,,,4047,,15383,,-378,,,,,,,,,,-11137,-378,-2125,-931,-13817,,,,,-1986,,,,,,1044,-342,,21,,7070,8315,15005
HER.MI,562.4,79,-372.2,,,,438.2,,853,,-860.3,,,,,,,-33.1,,-578.2,,-274.1,-33.5,81.2,-804.6,,,,,-248.8,471.1,,,,,-260.8,-65.6,,,,1332.8,1315.6,-7.3
IP.MI,113.87,29.72,49.88,,,,,,357.08,,-138.23,,,,,-89.21,,,,-9.04,-89.21,2.98,,1.46,-215.57,,0.58,0.58,-10.34,-34.99,,,,,,-0.53,-64.66,,0.54,,282.01,359.4,218.85
ISP.MI,1708,-4238,-52663,,,,6351,,-40187,,-1669,,,,,,,-35,321,-1379,,-207,286,,-1247,,355,355,-1736,-5830,,,,,,23,-7188,,-115,,89270,40533,-41856
INW.MI,382.11,4.45,16.8,,,,-1.03,,762.86,,-293.87,,,,,,,,,,,-293.87,,-8.86,-302.72,,2.09,2.09,-163.04,-452.18,,,,,,171.92,-441.2,,,,95.08,115.13,469
IG.MI,549.12,120.65,-129.22,,,,121.76,-22.48,1098.71,,-892.67,,,,,,2.26,-15.81,51.23,-848.02,2.26,-30.17,35.42,31.38,-809.13,,,,,-299.84,1179.21,-982.77,,,,0.66,-136.88,,,,249.96,402.66,206.05
IVG.MI,678,-1,91,,,,74,,1198,,-950,,,,,-26,69,0,,,43,-950,0,623,-284,,,,-60,-91,1364,-741,,,,7,68,,-58,,2698,3513,248
LDO.MI,663,-80,-394,,,,592,,1541,,-895,,,,,,,,,,,-879,,126,-753,,,,,-177,,-638,,,,137,-678,,39,,2407,2556,646
MB.MI,,,,,,,,,-3160.96,,-76.2,,,,,,,-7.4,0.25,-36.35,,-30.05,-7.15,,170.29,,,,,-633.95,,,,,,,-633.95,,0,,7861.6,4236.98,-3237.16
MONC.MI,306.84,4.81,-34.09,,,,-15.44,,989.51,,-195.19,,,,,-80.75,,,,,-80.75,-186.68,,,-267.43,,,,,-311.01,,-1.51,,,,,-535.17,,2.27,,998.8,1187.97,794.31
NEXI.MI,911.25,237.07,-240.95,,,,52.71,-615.75,974.03,,-446.97,,,,,,,,,-343.22,,-103.75,88.71,,-353.86,,,,,-2.94,6.49,-850.12,,,,,-1345.66,,,,800.17,74.67,527.05
PIRC.MI,572.72,253.09,-53.58,,,,,,1292.56,,-403.67,,,,,-0.56,,-32.34,,-27.59,-0.56,-373.84,-32.34,-0.51,-421.26,,,,,-204.4,1366.48,-1497.8,,,,60.13,-610.7,,-8.18,,1248.85,1501.27,888.89
PST.MI,924,-2177,1933,,,,-235,2284,2901,,-965,,,,,-33,1,0,3,-467,-32,-489,3,,-986,,,,,-1165,,,,,,-21,-1446,,0,,4211,4680,1936
PRY.MI,465,225,465,,,,668,,1933,,-793,,,,,-13,69,,,-25,56,-768,-4126,9,-4854,,,,-327,-202,5379,-2381,,,,-15,2203,,10,,1741,1033,1140
REC.MI,167.03,156.42,-112.52,,,,,,569.92,,-851.16,,,,,,,,,-812.15,,-34.8,,2,-844.94,,92.67,92.67,-119.02,-253.72,1092.2,-350.74,,,,,372.11,,3.52,,221.81,322.42,-281.24
SPM.MI,675,119,-42,,,,195,,1061,,-337,,,,,-244,0,,13,-11,-244,-300,13,,-542,,,,-65,,581,-767,,,,-2,-544,,47,,2136,2158,724
SRG.MI,984,239,-764,,,,-1477,,1814,,-2815,,,,,,290,-176,11,-276,290,-2534,-165,4,-2681,,,,-2,-946,5426,-1902,,,,-349,1291,,,,1382,1806,-1001
STLAM.MI,7226,1927,-8093,-1619,786,-4007,-3885,,4008,4008,-11060,,,,,,,-1652,261,,,-10472,-1391,-4119,-15982,-15982,104,104,-3000,-4651,,,,,,2407,2061,2061,410,,43669,34100,-7052
STMMI.MI,1760,-212,-495,-261,-32,-35,,,2965,2965,-3181,,,,,-3258,2251,,,-93,-1007,-3083,,441,-3742,-3742,,,-359,-288,300,-203,,,,395,-155,-155,-8,,3222,2282,-216
TIT.MI,3189,,-62,,,,-85,,3251,,-2849,,,,,,,-4,4169,320,-34,-1994,4165,2904,5361,,,,,-159,,,,,,-7096,-7255,,-101,,2912,2924,402
TEN.MI,632.85,125.89,286.92,-71.1,489.88,-216.72,,-100.13,2866.22,2866.22,-704.35,,,,,,,0,31.45,,-821.48,18.57,31.45,-5.55,-1397.16,-1397.16,,,-1439.59,-757.79,1870.67,-2068,,,,-4.72,-2399.43,-2399.43,-25.43,,1616.6,660.8,2161.87
TRN.MI,876.4,159.9,-544.9,,,,-85,15.6,1468.7,,-2624.4,,,,,,,0,79.3,,60.6,12.7,72.8,74.2,-2404.1,,,,,-690.6,1723.5,,,,,834.1,1867,,,,1381.8,2313.4,-1155.7
UCG.MI,1306,1660,-28174,,,,0,,-7076,,-1740,,,,,,,-2,226,-488,,-968,224,,-1065,,,,,-4950,,,,,,,-10990,,-427,,61000,41442,-8816
UNI.MI,,-1391,897,,,,897,0,2517,,-924,,,,,,,,,,-1563,-924,-589,46,-2768,,,,,-350,,,,,,504,146,,0,,1818,1713,1593
ABB.ST,802,251,-143,,,,-15,,4675,,-845,,,,,-1563,2257,-665,,,694,-738,-665,-3,-725,,451,451,-1247,-1769,1914,-2488,,,,-69,-3326,,-207,,3909,4326,3830
ADDT-B.ST,935,-12,-64,,,,,-298,2709,,-233,,,,,,,-1602,,-62,3,-137,-1602,-196,-1798,,-34,-34,,-755,1069,-17,,,,-441,-474,,-67,,798,1168,2476
ALFA.ST,2418,78,1587,,,,,2267,12159,,-3336,,,,,,,-50,,,,105,-50,,-3281,,,,,-3100,1664,-4850,,,,101,-6738,,94,,5135,7369,8823
ASSA-B.ST,5645,93,208,,,,395,,21391,,-2562,,,,,,,-12136,460,-279,-186,-1784,-11676,,-13925,,-112,-112,,-5999,7044,-3736,,,,-32,-4447,,20,,1466,4504,18829
AZN.ST,5065,1527,-893,,,,,,11861,,-4586,,,,,-96,108,-3940,13,-2539,12,-1869,-3927,,-7980,,-43,-43,,-4629,6492,-4652,,,,-817,-3996,,-93,,5637,5429,7275
ATCO-A.ST,8785,,2068,,,,,-899,36887,,-6024,,,,,,52,-7424,,-1788,52,-4162,-7424,,-13322,,943,943,-898,-13647,376,-1296,,,,533,-15864,,380,,10887,18968,30863
ATCO-B.ST,8785,,2068,,,,,-899,36887,,-6024,,,,,,52,-7424,,-1788,52,-4162,-7424,,-13322,,943,943,-898,-13647,376,-1296,,,,533,-15864,,380,,10887,18968,30863
BOL.ST,6783,-1667,1922,,,,92,3001,17659,,-14988,,,,,,,,,-22,-8,-14966,,,-14996,,,,,-2051,14946,-13485,,,,,-590,,1,,4978,7052,2671
EPI-A.ST,3097,-447,-574,,,,,-543,10460,,-1856,,,,,-192,,-9658,,-966,-192,-874,-9658,,-11690,,290,290,,-4591,12164,-5295,,,,,1899,,109,,6401,7179,8604
EQT.ST,436,321,66,,,,,,464,,-17,,,,,,,,0,0,,-17,0,-29,-2,,0,0,-118,-373,,,,,,1,-574,,22,,1114,1024,447
ERIC-B.ST,10020,1731,22817,6782,2576,496,2755,,46261,46261,-3640,,,,,-19622,11247,-397,86,,-8375,-2224,-311,-3742,-15952,-15952,,,,-9233,3615,-18409,,,,162,-23865,-23865,2251,,35190,43885,42621
ESSITY-B.ST,7505,544,-408,,,,,2756,16801,,-7396,,,,,,,-17,17980,-7396,-1137,103,17963,-87,9407,,,,-2224,-5443,1397,-15004,,,,-63,-22336,,163,,6927,10962,9405
EVO.ST,142.22,-151.04,-58.88,,,,-1.01,,1301,,-136.71,,,,,,,-7.58,,-71.39,-103.67,-65.32,-7.58,,-247.97,,17.45,17.45,-677.99,-559.27,,,,,,,-1238.08,,0.76,,985.76,801.47,1164.29
SHB-A.ST,2435,1770,14188,,,,-61706,,44529,,-1627,,,,,,6,-175,17147,-678,6,-551,16972,-1,15748,,,,,-25740,5704,-13371,,,,,-33407,,26957,,476181,530009,42902
HM-B.ST,22252,78,-4989,,,,,346,31756,,-11448,,,,,,,,,-1388,-126,-10060,,-126,-11574,,,,-2928,-10456,0,-248,,,,24,-29205,,-35,,26398,17340,20308
HEXA-B.ST,577.5,1,94,,,,,75.6,1588.2,,-632.3,,,,,-10,6.9,-112.4,27.8,-516.8,-3.1,-105.6,-84.6,-92.6,-710.1,,-88.8,-88.8,0,-349,1162.6,-1480.1,,,,-317.5,-764.1,,2.7,,547.1,663.8,955.9
INDU-C.ST,,,,,,,,,,,,,,,,-4566,0,,,,-4566,,,,-4566,,,,,-3347,1000,-1403,,,,0,-3750,,,,869,843,8290
INVE-B.ST,,,,,,,,,,,-4420,,,,,-18422,11667,-3749,0,,-6755,-71,-3749,-487,-11062,,0,0,-356,-14704,21389,-17031,,,,-3864,-14566,,471,,18794,17220,19162
LIFCO-B.ST,1684,-11,94,,,,,-124,4485,,-536,,,,,,,-2891,,-38,,-409,-2891,,-3338,,,,,-1229,7791,-7963,,,,-3,-1404,,183,,1591,1517,3949
NIBE-B.ST,2245,680,180,,,,,-2495,4006,,-2647,,,,,,,-621,,-472,,-2156,-621,404,-2845,,,,,-1310,6054,-4153,,,,,-64,,227,,4283,5607,1359
NDA-SE.ST,562,-12,-6563,,,,4920,7894,906,,-560,,,,,,,-2393,,-469,,-54,-2393,,-2916,,,,,-3218,2192,-762,,,,-26,-2347,,560,,51362,47565,346
SAAB-B.ST,2645,-68,-1003,,,,7218,3589,6732,,-4839,,,,,-1894,2471,-15,25,-297,577,-3942,10,,-4182,,,,,-856,331,-678,,,,,-1934,,98,,2129,2843,1893
SAND.ST,7981,102,1256,,,,,-280,20607,,-4841,,,,,-23,140,-3209,,-1269,117,-3308,-3209,-2,-7671,,,,-61,-6880,5928,-10535,,,,-1,-12988,,216,,4363,4528,15766
SCA-B.ST,2116,-1826,-1040,,,,,-317,3486,,-2171,,,,,,,-117,,-827,24,-784,-117,,-1704,,,,,-1931,2653,-1466,,,,,-959,,3,,502,1328,1315
SEB-A.ST,,,,,,,,,-34433,,-1189,,,,,-133,1,-3694,,-1174,-132,,-3694,,-5000,,,,-8340,-23709,16245,0,,,,1,-15803,,18059,,320879,283702,-35622
SKA-B.ST,3253,-24,4799,,,,,5581,9113,,-2677,,,,,-8503,3683,,2,-7,-4820,-2343,2,1,-5767,,,,-207,-2257,3830,-2247,,,,45,-2843,,11,,17912,18426,6436
SKF-B.ST,4432,961,-804,,,,-302,,10792,,-5091,,,,,,,-587,0,-14,-4,-4997,-587,,-5602,,,,,-3832,464,-3153,,,,-167,-7573,,103,,13311,11031,5701
SWED-A.ST,2960,519,49321,,,,-3017,28930,80817,,-407,,,,,,,-240,,,,-93,-240,,-147,,,,,-17048,27553,-22242,,,,,-12645,,4585,,252994,325604,80410
TEL2-B.ST,5944,1068,76,,,,-60,54,9778,,-3975,,,,,,,-43,5,-892,10,-3080,-38,1,-3999,,,,,-4777,3650,-4543,,,,,-7100,,5,,1634,317,5803
TELIA.ST,24520,1051,-3097,,,,388,-5110,21196,,-13889,,,,,,,-40,8071,-13647,6638,,8031,-1,4107,,,,,-7864,79,-19883,,,,1413,-27341,,85,,11764,9812,7307
VOLV-B.ST,22548,-4015,-28298,,,,-2435,,46444,,-18385,,,,,-4905,16,-7911,2387,-4012,-4889,-13892,-5524,-709,-24137,,,,,-36602,342066,-327245,,,,-74,-21871,,1410,,83326,85171,28059
ABN.AS,160,750,-12564,,,,-1916,,-10795,,-452,,,,,-49211,44645,-25,183,-140,-4566,-264,158,1,-4811,,,,-500,-1244,45140,-37001,,,,-121,6162,,19,,55054,45629,-11247
ADYEN.AS,104.46,-351.19,654.12,,,,,,1704.78,,-101.25,,,,,-26.2,,,,,-17.37,-98.22,,,-118.62,,112.01,112.01,,,,,,,,,70.6,,1.3,,17042.25,18700.3,1603.53
AGN.AS,-31,10527,10821,,,,,,762,761,-66,,,,,,,-49,56,-15,,-31,7,-1,300,300,,,-925,-521,700,-946,,,,-63,-1755,-1755,88,,4074,3469,696
AD.AS,3478,562,-10,,,,97,,6224,,-2299,,,,,,0,-26,21,,0,,-5,-1940,-1727,,,,-1000,-1037,1594,-782,,,,-2,-1983,,168,,3475,6157,6224
AKZA.AS,371,73,-199,,,,-206,,673,,-306,,,,,-320,423,,3,,103,,3,69,-132,,,,0,-385,2807,-3102,,,,-4,-684,,-32,,1453,1273,367
ASM.AS,195.8,-71.84,-21.53,,,,183.08,,897.65,,-364.73,,,,,,,,,,-7.72,8.82,,,-349.97,,0,0,-151.37,-135.49,,,,,,,-301.03,,42.58,,637.26,926.5,532.92
ASML.AS,918.6,,2053.3,2561.3,-139.9,1127.6,-1299,,11166.2,11166.2,-2083.1,,,,,-305.2,305.2,0,,-15.9,0,-2067.2,0,-526.2,-2609.3,-2609.3,124,124,-500,-2452.9,22.5,-25.7,,,,,-2832.1,-2832.1,6.4,,7004.7,12735.9,9083.1
ASRNL.AS,93,2,2134,,,,-1447,2393,3583,,-34,,,,,,,-18,2263,-5,,-29,2245,,2211,,,,,-484,1165,-741,,,,-5,-130,,,,2246,7910,3549
BESI.AS,28.6,7.07,-39.09,,,,-7.4,,201.08,,-31.48,,,,,,,,,,-105,,,,-136.48,,,,-79.83,-171.53,350.78,,,,,,88.67,,0.56,,188.48,342.32,169.61
DSFIR.AS,,,198,,,,,,1778,,-764,,,,,,,-5,42,-764,43,,37,393,-252,,21,21,-706,-667,,,,,,-53,-1334,,19,,2456,2667,1014
EXO.AS,0,453,299,,,,299,,47,,,,,,,-3,75,0,,,72,0,0,-143,-58,,6,6,-249,-99,1088,-715,,,,,-56,,21,,215,169,47
HEIA.AS,2605,759,845,,,,,,5503,,-2465,,,,,,,-48,58,-281,,-2032,10,,-2435,,,,-5,-1199,3076,-4091,,,,,-2574,,-166,,1425,1753,3038
IMCD.AS,136.61,31.08,-85.25,,,,,,279.21,,-26.45,,,,,-0.2,,-364.94,,-8.74,-0.2,-14.06,-364.94,,-387.95,,291.99,291.99,,-127.65,976.85,-862.2,,,,0,247.06,,-7.41,,394.46,525.38,252.76
INGA.AS,673,354,-31311,18049,,,577,-7800,-22544,-22545,-332,,,,,-131552,125801,,0,,-5751,-282,0,,-6033,-6033,,,,-3879,129304,-116235,,,,1,5374,5373,-740,,93012,69069,-22876
KPN.AS,1240,262,58,,,,-7,65,2264,,-1314,,,,,-33,95,-235,26,-308,62,-941,-209,16,-1442,,,,-200,-646,996,-939,,,,163,-769,,,,608,662,950
NN.AS,152,339,37,,,,-752,779,62,,,,,,,-29421,34344,-525,278,,4923,,-247,,4533,,,,,-428,10588,-12438,,,,,-2986,,-72,,6670,8207,62
PHIA.AS,1389,290,-94,316,-1,-583,,-51,1569,1569,-676,,,,,-123,95,-8,126,-118,-28,13,118,,-573,-573,0,0,-411,-1,710,-763,,,,-1,-496,-497,45,,1869,2401,893
PRX.AS,146,-418,10,,,,,,1920,,-106,,,,,-23527,26620,-473,9346,-22,3093,-80,8873,11,11875,,,,-8420,-268,110,-43,,,,-70,-8739,,-95,,2160,7074,1814
RAND.AS,325,5,-89,,,,-70,-19,649,,-84,,,,,,,-415,2,,,-84,-413,,-518,,,,-183,-635,2111,-975,,,,,-21,,-14,,261,357,565
REN.AS,706,77,-146,,,,,,2608,,-484,,,,,-4,,-198,74,,-4,-20,-124,,-575,,-28,-28,-1000,-1121,711,-1017,,,,-1,-2065,,-4,,155,119,2124
