Ticker,Year,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,Net Income From Continuing Operations,DepreciationAmortizationDepletion,DepreciationAndAmortization,OtherNonCashItems,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInOtherWorkingCapital,TaxesRefundPaid,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetInvestmentPurchaseAndSale,PurchaseOfInvestments,SaleOfInvestments,NetPPEPurchaseAndSale,PurchaseOfPPE,SaleOfPPE,NetIntangiblesPurchaseAndSale,PurchaseOfIntangibles,SaleOfIntangibles,NetBusinessPurchaseAndSale,PurchaseOfBusiness,SaleOfBusiness,Net Other Investing Changes,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetLongTermDebtIssuance,Net Issuance Payments Of Debt,LongTermDebtIssued,LongTermDebtPayments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Cash Dividends Paid,Net Other Financing Charges,EndCashPosition,ChangeInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,IssuanceOfDebt,RepaymentOfDebt,RepurchaseOfCapitalStock,FreeCashFlow
SWED-A.ST,2021,49409.0,,25817.0,1133.0,1687.0,-1898.0,30933.0,19618.0,-5580.0,30933.0,-4478.0,628.0,,,,,92.0,-253.0,345.0,,,,-51.0,-51.0,,,14151.0,,31212.0,31212.0,31829.0,-617.0,,,,-16310.0,,360153.0,64188.0,2154.0,293811.0,-253.0,,31829.0,-617.0,,49156.0
SWED-A.ST,2022,-18620.0,,26763.0,1170.0,2820.0,-604.0,-44241.0,-6593.0,76233.0,-44241.0,-4537.0,691.0,,,,,-194.0,-363.0,169.0,,,,-135.0,-135.0,,,10015.0,,23449.0,23449.0,36367.0,-12918.0,,,,-12632.0,,365992.0,-7914.0,13753.0,360153.0,-363.0,,36367.0,-12918.0,,-18983.0
SWED-A.ST,2023,-145148.0,,43622.0,1285.0,2007.0,-322.0,-181375.0,335.0,21267.0,-181375.0,-5443.0,-418.0,,,,,-671.0,-852.0,181.0,,,,-53.0,-53.0,,,32175.0,,43938.0,43938.0,55919.0,-11981.0,,,,-10964.0,,252994.0,-113391.0,393.0,365992.0,-852.0,,55919.0,-11981.0,,-146000.0
SWED-A.ST,2024,80817.0,,44187.0,1313.0,2960.0,519.0,49321.0,-3017.0,28930.0,49321.0,-8732.0,-147.0,,,,,-93.0,-407.0,314.0,,,,-240.0,-240.0,,,-12645.0,,5311.0,5311.0,27553.0,-22242.0,,,,-17048.0,,325604.0,68025.0,4585.0,252994.0,-407.0,,27553.0,-22242.0,,80410.0
SWED-A.ST,2025,-17474.0,,10016.0,,,,-21391.0,-33152.0,11761.0,-21391.0,-2952.0,-135.0,,,,,-158.0,-186.0,28.0,,,,0.0,0.0,0.0,,-24066.0,,526.0,526.0,9844.0,-9318.0,,,,,,325020.0,-41675.0,3482.0,363213.0,-186.0,,9844.0,-9318.0,,-17660.0
SY1.DE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,
SY1.DE,2021,521.56,,385.03,254.67,254.67,20.78,-109.74,9.3,,-109.74,-167.09,-713.6,,-217.95,-217.95,,-154.31,-154.31,0.16,-19.84,-19.84,,-384.96,-384.96,,63.47,-92.15,,101.35,101.35,116.17,-14.82,,,,-131.36,-5.82,453.81,-284.19,18.31,725.14,-174.16,,116.17,-14.82,,347.4
SY1.DE,2022,360.11,,290.7,163.67,290.47,37.74,-339.27,-35.27,1.11,-339.27,-178.81,-984.84,,-161.67,-161.67,,-229.8,-229.8,-0.72,-20.37,-20.37,,-579.22,-579.22,,6.21,481.52,,713.26,713.26,1063.84,-350.57,,,,-142.57,-17.74,314.86,-143.21,16.49,453.81,-250.17,,1063.84,-350.57,,109.94
SY1.DE,2023,719.51,,344.94,292.29,292.29,113.16,-10.56,6.56,16.04,-10.56,-135.35,-352.75,,-1.94,-1.94,,-248.87,-248.87,0.27,-21.33,-21.33,,-89.89,-89.89,0.0,3.75,-269.76,,-21.11,-21.11,0.28,-21.39,,,,-146.76,-2.48,393.03,97.0,-3.01,314.86,-270.2,,0.28,-21.39,,449.31
SY1.DE,2024,894.91,,481.95,316.01,316.01,100.79,-4.21,3.95,101.5,-4.21,-167.6,-291.51,,-2.73,-2.73,,-227.42,-227.42,0.34,-15.42,-15.42,,-55.7,-59.0,3.3,4.66,-281.88,,-17.13,-17.13,12.37,-29.5,,,,-153.75,-9.97,709.92,321.53,0.86,393.03,-242.85,,12.37,-29.5,,652.07
