ticker_market,market,name,country,ticket
SLMJ.DE,DE,Sanlam Ltd,germany,SLMJ
INVP.DE,DE,Investec,germany,INVP
AVA.DE,DE,Avista,germany,AVA
0941.DE,DE,China Mobile,germany,0941
BUDY.DE,DE,Anheuser Busch ADR,germany,BUDy
AIRG.DE,DE,Airbus Group,germany,AIRG
HDJA.DE,DE,Janus Henderson,germany,HDJA
6762.DE,DE,TDK,germany,6762
TJH7.DE,DE,Tie Holding,germany,TJH7
NNN1Y.DE,DE,Tencent ADR,germany,NNN1y
DISCKC.DE,DE,Discovery Communications C,germany,DISCKc
EONGN.DE,DE,E.ON SE,germany,EONGn
ELO1.DE,DE,Eldorado Gold,germany,ELO1
CRNT.DE,DE,Ceragon,germany,CRNT
ITRN.DE,DE,Ituran,germany,ITRN
MLNX.DE,DE,Mellanox,germany,MLNX
2F5.DE,DE,Biondvax Pharma ADR,germany,2F5
SILC.DE,DE,Silicom,germany,SILC
CTCH.DE,DE,Cyren,germany,CTCH
CPTGY.DE,DE,Collplant ADR,germany,CPTGy
4TXAY.DE,DE,Therapix Biosciences,germany,4TXAy
2EBAY.DE,DE,Cellect Biotech,germany,2EBAy
ODHN.DE,DE,Orascom Development,germany,ODHN
IMX.DE,DE,Imax,germany,IMX
SAPGY_P.DE,DE,SAP ADR,germany,SAPGy_p
VODIY.DE,DE,Vodafone Group ADR,germany,VODIy
QIA.DE,DE,Qiagen,germany,QIA
DLGS.DE,DE,Dialog,germany,DLGS
RR5.DE,DE,Range Resources Ltd,germany,RR5
JENGN.DE,DE,Jenoptik,germany,JENGn
GWIG.DE,DE,Gerry Weber,germany,GWIG
AITN.DE,DE,Applied Industrial Technologies,germany,AITN
GMMG.DE,DE,Grammer AG,germany,GMMG
DRIG.DE,DE,Drillisch AG,germany,DRIG
BIONN.DE,DE,BB Biotech,germany,BIONn
BKP6.DE,DE,Piraeus Bank,germany,BKP6
1ZD.DE,DE,Interoil,germany,1ZD
LN3.DE,DE,Jefferies Financial,germany,LN3
G1V.DE,DE,MC Mining,germany,G1V
PVR1.DE,DE,Patagonia Gold,germany,PVR1
PXSL.DE,DE,Provexis,germany,PXSL
ALGR.DE,DE,Alamo,germany,ALGR
BNRGN.DE,DE,Brenntag AG,germany,BNRGn
FIEG.DE,DE,Fielmann AG,germany,FIEG
FPE4Y.DE,DE,Fuchs Petrolub ADR,germany,FPE4y
FPEG_P.DE,DE,Fuchs Petrolub AG VZO Pref,germany,FPEG_p
AVD.DE,DE,American Vanguard,germany,AVD
ROSNQA.DE,DE,Rosneft,germany,ROSNqa
S92G.DE,DE,SMA Solar AG,germany,S92G
SMHNN.DE,DE,Suess Microtec,germany,SMHNn
VBKG.DE,DE,Verbio Vereinigte,germany,VBKG
CEPD.DE,DE,CTi Biopharma,germany,CEPD
WHS.DE,DE,Warehouse Group,germany,WHS
AQG.DE,DE,Alacer Gold DRC,germany,AQG
AAP.DE,DE,Azure Health,germany,AAP
MYR.DE,DE,Myer Holdings,germany,MYR
YM1.DE,DE,Panoramic Resources,germany,YM1
QRL.DE,DE,Aurizon Holdings,germany,QRL
S2Z.DE,DE,Sandfire Resources,germany,S2Z
T7W.DE,DE,Treasury Wine Estates,germany,T7W
G2O.DE,DE,Golar,germany,G2O
RCL.DE,DE,Royal Caribbean Cruises,germany,RCL
6LA.DE,DE,Lamar,germany,6LA
SAN.DE,DE,Santander,germany,SAN
SNC.DE,DE,Sonaecom,germany,SNC
SVO.DE,DE,Sacyr,germany,SVO
RRTL.DE,DE,RTL Group,germany,RRTL
VOPA.DE,DE,Vopak,germany,VOPA
ACGL.DE,DE,Arch Capital,germany,ACGL
9AC.DE,DE,AMC Networks,germany,9AC
AMPP.DE,DE,Ampio Pharm,germany,AMPP
AMRNY.DE,DE,Amarin,germany,AMRNy
2UH.DE,DE,ANGI Homeservices,germany,2UH
DLBA.DE,DE,Dolby Labs,germany,DLBa
ATSG.DE,DE,Air Transport Services,germany,ATSG
DLX.DE,DE,Deluxe,germany,DLX
AZPN.DE,DE,Aspen,germany,AZPN
DNYY.DE,DE,Denny’s,germany,DNYY
BSFA.DE,DE,ANI Pharma,germany,BSFA
PP4A.DE,DE,Popular,germany,PP4A
BRKR.DE,DE,Bruker,germany,BRKR
CUCA.DE,DE,Avis,germany,CUCA
CBOE.DE,DE,Cboe Global,germany,CBOE
CENX.DE,DE,Century Aluminum,germany,CENX
SIY.DE,DE,Siemens ADR,germany,SIy
FDV1.DE,DE,Digirad,germany,FDV1
CPRT.DE,DE,Copart,germany,CPRT
CVLT.DE,DE,CommVault,germany,CVLT
DECK.DE,DE,Deckers Outdoor,germany,DECK
ENMD.DE,DE,Casi Pharma,germany,ENMD
ESLT.DE,DE,Elbit Systems,germany,ESLT
EXEL.DE,DE,Exelixis,germany,EXEL
FOSL.DE,DE,Fossil,germany,FOSL
GGALYB.DE,DE,Grupo Financiero Galicia ADR,germany,GGALyb
GLGL.DE,DE,GLG Life Tech,germany,GLGL
G2U.DE,DE,Gulfport,germany,G2U
G5NA.DE,DE,Groupon,germany,G5Na
P8S.DE,DE,Globalstar Inc,germany,P8S
IKIA.DE,DE,Iconix Brand,germany,IKIA
DSX.DE,DE,Diana Shipping,germany,DSX
LECO.DE,DE,Lincoln Electrics,germany,LECO
33L.DE,DE,Lululemon Athletica,germany,33L
M6X2.DE,DE,Yield10 Bioscience,germany,M6X2
MLNX.DE,DE,Mellanox,germany,MLNX
MPEY.DE,DE,Melco Resorts & Entertainment,germany,MPEy
SIY.DE,DE,Siemens ADR,germany,SIy
MYRX.DE,DE,Myrexis Inc Cmn Stk,germany,MYRX
NR1A.DE,DE,National Research,germany,NR1A
ODFL.DE,DE,Old Dominion Freight Line,germany,ODFL
PBCT.DE,DE,People’s United,germany,PBCT
PVDA.DE,DE,Sterling Bancorp,germany,PVDA
PENN.DE,DE,Penn National Gaming,germany,PENN
PIGG.DE,DE,Perrigo,germany,PIGG
DUM.DE,DE,Ducommun,germany,DUM
QY1.DE,DE,Nextgen Healthcare,germany,QY1
REED.DE,DE,Reed’s,germany,REED
REGN.DE,DE,Regeneron Pharma,germany,REGN
3T3.DE,DE,TiVo,germany,3T3
4SB.DE,DE,SBA Communications,germany,4SB
SL2.DE,DE,Sleep Number,germany,SL2
SNPS.DE,DE,Synopsys,germany,SNPS
8SO.DE,DE,Sonos,germany,8SO
SWKS.DE,DE,Skyworks,germany,SWKS
RVS1.DE,DE,Dawson Geophysical,germany,RVS1
I9DN.DE,DE,Arbutus Biopharma,germany,I9DN
37Z.DE,DE,Allakos,germany,37Z
TB5.DE,DE,Trimble,germany,TB5
T98.DE,DE,Wright Medical,germany,T98
TRCT.DE,DE,Tractor Supply,germany,TRCT
TSEM.DE,DE,Tower,germany,TSEM
TXM1.DE,DE,Travelzoo,germany,TXM1
ULTA.DE,DE,Ulta Beauty,germany,ULTA
UTHR.DE,DE,United Therapeutics,germany,UTHR
CR3.DE,DE,Corindus Vascular Robotics,germany,CR3
VCC2.DE,DE,Vical,germany,VCC2
VRNT.DE,DE,Verint,germany,VRNT
VA7A.DE,DE,Verisk,germany,VA7A
WLBU.DE,DE,Westmoreland Coal,germany,WLBU
WPT.DE,DE,Westport Fuel,germany,WPT
AJPG.DE,DE,Artprice Com,germany,AJPG
FFPP.DE,DE,FFP,germany,FFPP
LAGA.DE,DE,Lagardere,germany,LAGA
BICY.DE,DE,BanColombia,germany,BICy
BKY.DE,DE,Berkeley Energy,germany,BKY
EQXA.DE,DE,Equatorial Resources,germany,EQXa
WE7.DE,DE,Evolution Mining,germany,WE7
EXR2.DE,DE,EXCO Resources,germany,EXR2
ELYA.DE,DE,G8 Education,germany,ELYA
RR5.DE,DE,Range Resources Ltd,germany,RR5
WEB.DE,DE,Webjet,germany,WEB
VALE3.DE,DE,VALE ON,germany,VALE3
PWTN.DE,DE,Panalpina Welttransport,germany,PWTN
2HR.DE,DE,H&R,germany,2HR
AOXG.DE,DE,Alstria,germany,AOXG
AMDG.DE,DE,Amadeus Fire AG,germany,AMDG
BIOG_P.DE,DE,Biotest AG VZ,germany,BIOG_p
CDBG.DE,DE,Comdirect AG,germany,CDBG
