ticker;stockopen;stockclose;país;date
^IBEX;9639.099609;9691.200195;España;2020-01-02 00:00:00
^IBEX;9631.200195;9646.599609;España;2020-01-03 00:00:00
^IBEX;9585.400391;9600.900391;España;2020-01-06 00:00:00
^IBEX;9623.099609;9579.799805;España;2020-01-07 00:00:00
^IBEX;9535.099609;9591.400391;España;2020-01-08 00:00:00
^IBEX;9629.200195;9581.799805;España;2020-01-09 00:00:00
^IBEX;9611.299805;9573.599609;España;2020-01-10 00:00:00
^IBEX;9586.599609;9543.900391;España;2020-01-13 00:00:00
^IBEX;9548.099609;9528.299805;España;2020-01-14 00:00:00
^IBEX;9521.200195;9511.700195;España;2020-01-15 00:00:00
^IBEX;9516.700195;9572.5;España;2020-01-16 00:00:00
^IBEX;9616.099609;9681.299805;España;2020-01-17 00:00:00
^IBEX;9676.599609;9658.799805;España;2020-01-20 00:00:00
^IBEX;9593.400391;9611.299805;España;2020-01-21 00:00:00
^IBEX;9622;9573.700195;España;2020-01-22 00:00:00
^IBEX;9549.400391;9518.5;España;2020-01-23 00:00:00
^IBEX;9576.799805;9562;España;2020-01-24 00:00:00
^IBEX;9447.099609;9366.299805;España;2020-01-27 00:00:00
^IBEX;9401.799805;9484.200195;España;2020-01-28 00:00:00
^IBEX;9532.700195;9546.700195;España;2020-01-29 00:00:00
^IBEX;9460.799805;9477.900391;España;2020-01-30 00:00:00
^IBEX;9519.299805;9367.900391;España;2020-01-31 00:00:00
^IBEX;9404.400391;9404.700195;España;2020-02-03 00:00:00
^IBEX;9465.900391;9562.900391;España;2020-02-04 00:00:00
^IBEX;9553.400391;9717.799805;España;2020-02-05 00:00:00
^IBEX;9767.099609;9811.299805;España;2020-02-06 00:00:00
^IBEX;9789.299805;9811;España;2020-02-07 00:00:00
^IBEX;9790.599609;9816;España;2020-02-10 00:00:00
^IBEX;9863.400391;9882.599609;España;2020-02-11 00:00:00
^IBEX;9897.900391;9940.400391;España;2020-02-12 00:00:00
^IBEX;9893.900391;9909.799805;España;2020-02-13 00:00:00
^IBEX;9910.900391;9956.799805;España;2020-02-14 00:00:00
^IBEX;9979.200195;10022.2002;España;2020-02-17 00:00:00
^IBEX;9977.400391;10005.7998;España;2020-02-18 00:00:00
^IBEX;10042;10083.59961;España;2020-02-19 00:00:00
^IBEX;10048.7002;9931;España;2020-02-20 00:00:00
^IBEX;9893;9886.200195;España;2020-02-21 00:00:00
^IBEX;9649.799805;9483.5;España;2020-02-24 00:00:00
^IBEX;9507;9250.799805;España;2020-02-25 00:00:00
^IBEX;9213;9316.799805;España;2020-02-26 00:00:00
^IBEX;9182.200195;8985.900391;España;2020-02-27 00:00:00
^IBEX;8748.099609;8723.200195;España;2020-02-28 00:00:00
^IBEX;8910.200195;8741.5;España;2020-03-02 00:00:00
^IBEX;8860.200195;8811.599609;España;2020-03-03 00:00:00
^IBEX;8827.799805;8910;España;2020-03-04 00:00:00
^IBEX;8960.799805;8683;España;2020-03-05 00:00:00
^IBEX;8532.599609;8375.599609;España;2020-03-06 00:00:00
^IBEX;7884;7708.700195;España;2020-03-09 00:00:00
^IBEX;7815.600098;7461.5;España;2020-03-10 00:00:00
^IBEX;7589.299805;7436.399902;España;2020-03-11 00:00:00
^IBEX;7040.799805;6390.899902;España;2020-03-12 00:00:00
^IBEX;6763.700195;6629.600098;España;2020-03-13 00:00:00
^IBEX;6331;6107.200195;España;2020-03-16 00:00:00
^IBEX;6444.5;6498.5;España;2020-03-17 00:00:00
^IBEX;6370.5;6274.799805;España;2020-03-18 00:00:00
^IBEX;6368.200195;6395.799805;España;2020-03-19 00:00:00
^IBEX;6645.399902;6443.299805;España;2020-03-20 00:00:00
^IBEX;6223.700195;6230.200195;España;2020-03-23 00:00:00
^IBEX;6433.299805;6717.299805;España;2020-03-24 00:00:00
^IBEX;6985.899902;6942.399902;España;2020-03-25 00:00:00
^IBEX;6789;7033.200195;España;2020-03-26 00:00:00
^IBEX;6916.700195;6777.899902;España;2020-03-27 00:00:00
^IBEX;6748.600098;6659.899902;España;2020-03-30 00:00:00
^IBEX;6746.799805;6785.399902;España;2020-03-31 00:00:00
^IBEX;6627.299805;6579.399902;España;2020-04-01 00:00:00
^IBEX;6633.700195;6574.100098;España;2020-04-02 00:00:00
^IBEX;6563.600098;6581.600098;España;2020-04-03 00:00:00
^IBEX;6807.899902;6844.299805;España;2020-04-06 00:00:00
^IBEX;6986.899902;7002;España;2020-04-07 00:00:00
^IBEX;6930.200195;6951.799805;España;2020-04-08 00:00:00
^IBEX;7049.299805;7070.600098;España;2020-04-09 00:00:00
^IBEX;7209.700195;7108.600098;España;2020-04-14 00:00:00
^IBEX;7065.600098;6839.5;España;2020-04-15 00:00:00
^IBEX;6930.799805;6763.399902;España;2020-04-16 00:00:00
^IBEX;6942.5;6875.799805;España;2020-04-17 00:00:00
^IBEX;6932.5;6831.5;España;2020-04-20 00:00:00
^IBEX;6741.299805;6634.899902;España;2020-04-21 00:00:00
^IBEX;6685.100098;6719.799805;España;2020-04-22 00:00:00
^IBEX;6758.700195;6746.5;España;2020-04-23 00:00:00
^IBEX;6641.299805;6613.899902;España;2020-04-24 00:00:00
^IBEX;6780.899902;6731.799805;España;2020-04-27 00:00:00
^IBEX;6724.600098;6836.399902;España;2020-04-28 00:00:00
^IBEX;6829.399902;7055.700195;España;2020-04-29 00:00:00
^IBEX;7084.799805;6922.299805;España;2020-04-30 00:00:00
^IBEX;6767.700195;6673.299805;España;2020-05-04 00:00:00
^IBEX;6772.200195;6747.700195;España;2020-05-05 00:00:00
^IBEX;6719.799805;6671.700195;España;2020-05-06 00:00:00
^IBEX;6714.899902;6730.899902;España;2020-05-07 00:00:00
^IBEX;6790.700195;6783.100098;España;2020-05-08 00:00:00
^IBEX;6830.899902;6672.200195;España;2020-05-11 00:00:00
^IBEX;6672.700195;6762.700195;España;2020-05-12 00:00:00
^IBEX;6694;6631.399902;España;2020-05-13 00:00:00
^IBEX;6569.700195;6545.600098;España;2020-05-14 00:00:00
^IBEX;6594.399902;6474.899902;España;2020-05-15 00:00:00
^IBEX;6583.100098;6779.299805;España;2020-05-18 00:00:00
^IBEX;6864.200195;6609.100098;España;2020-05-19 00:00:00
^IBEX;6593.399902;6683.600098;España;2020-05-20 00:00:00
^IBEX;6612.700195;6686.100098;España;2020-05-21 00:00:00
