Ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
MC.PA,2024-12-31 00:00:00,84683000000.0,27918000000.0,56765000000.0,,,37187000000.0,,19578000000.0,,,1186000000.0,,5157000000.0,,,,,,,12550000000.0,,,,,,12741620000.0,,,,,-1234000000.0,,
ML.PA,2024-12-31 00:00:00,27193000000.0,19445000000.0,7748000000.0,,,4561000000.0,70000000.0,3187000000.0,,,295000000.0,,555000000.0,,,,,,,1884000000.0,,2.65,2.62,712283891.0,716960000.0,2265089000.0,,,,,-171000000.0,,
ORA.PA,2024-12-31 00:00:00,40260000000.0,16649000000.0,23611000000.0,,,17496000000.0,2050000000.0,6115000000.0,,,1312000000.0,,1355000000.0,,,,,,,2350000000.0,,0.82,0.82,2658606474.0,2659826500.0,2578192592.592593,,,,,-1041000000.0,,
RI.PA,2024-06-30 00:00:00,11598000000.0,4623000000.0,6975000000.0,,,3866000000.0,1994000000.0,3109000000.0,,,458000000.0,,766000000.0,,,,,,,1476000000.0,,5.84,5.83,252595588.0,253188307.0,1733280000.0,,,,,-419000000.0,,
PUB.PA,2024-12-31 00:00:00,16030000000.0,,,,,13745000000.0,3792000000.0,2285000000.0,,,122000000.0,,549000000.0,,,,,,,1660000000.0,,6.62,6.55,250677462.0,253565798.0,1698301000.0,,,,,-29000000.0,,
RNO.PA,2024-12-31 00:00:00,56232000000.0,44500000000.0,11732000000.0,,,7658000000.0,189000000.0,4074000000.0,,,379000000.0,,647000000.0,,,,,,,752000000.0,,2.76,2.72,272374000.0,276883000.0,2360020000.0,,,,,-167000000.0,,
SAF.PA,2024-12-31 00:00:00,27716000000.0,14445000000.0,13271000000.0,,,9281000000.0,334000000.0,3990000000.0,,,129000000.0,,-284000000.0,,,,,,,-667000000.0,,-1.6,-1.6,416149530.0,420722353.0,2426297400.0,,,,,99000000.0,,
SGO.PA,2024-12-31 00:00:00,46571000000.0,33688000000.0,12883000000.0,,,7888000000.0,,4995000000.0,,,934000000.0,,994000000.0,,,,,,,2844000000.0,,5.69,5.64,499715108.0,503934048.0,2981437881.873727,,,,,-455000000.0,,
SAN.PA,2024-12-31 00:00:00,44286000000.0,13205000000.0,31081000000.0,,,21619000000.0,3293000000.0,9462000000.0,,,749000000.0,,1204000000.0,,,,,,,5560000000.0,,4.59,4.59,1251400000.0,1251400000.0,7303280000.0,,,,,-560000000.0,,
SU.PA,2024-12-31 00:00:00,38153000000.0,21885000000.0,16268000000.0,,,9698000000.0,107000000.0,6570000000.0,,,483000000.0,,1398000000.0,,,,,,,4269000000.0,,7.61,7.53,560716000.0,569085000.0,4608964000.0,,,,,-381000000.0,,
